Player,Nation,Pos,Squad,Comp,Age,90s,PassesReceivedp90,PassesReceived,Touches,TouchesAttacking3rdp90,TouchesAttacking3rd,TouchesAttackingPenp90,TouchesAttackingPen,SuccDribbles,Attdribblesp90,AttDribbles,SuccDribblesPerc,xAp90,xA,TBp90,TB,Succ Deliveries to boxp90,Succ Deliveries to box,KPp90,KP,PassingFinal3rdp90,PassingFinal3rd,SCAp90,PPA,CrsPA
Raúl Albiol\Raul-Albiol,es ESP,DF,Villarreal,es La Liga,33.00,36.00,41.92,1509.00,2261.00,1.42,51.00,0.58,21.00,3.00,0.08,3.00,100.00,0.01,0.40,0.03,1.00,0.17,6.00,0.14,5.00,2.67,96.00,0.44,5.00,1.00
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,eng Premier League,30.00,32.90,46.66,1535.00,2265.00,3.47,114.00,0.67,22.00,0.00,0.06,2.00,0.00,0.03,1.10,0.18,6.00,0.55,18.00,0.33,11.00,3.98,131.00,0.58,17.00,1.00
Haitam Aleesami\Haitam-Aleesami,no NOR,DF,Amiens,fr Ligue 1,28.00,21.30,38.97,830.00,1436.00,14.98,319.00,0.94,20.00,19.00,1.50,32.00,59.40,0.06,1.30,0.00,0.00,0.85,18.00,0.61,13.00,3.15,67.00,1.22,12.00,6.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20.00,35.30,66.94,2363.00,3520.00,35.30,1246.00,1.78,63.00,26.00,1.59,56.00,46.40,0.27,9.60,0.23,8.00,3.40,120.00,2.41,85.00,5.72,202.00,4.28,90.00,30.00
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,eng Premier League,28.00,15.90,58.36,928.00,1313.00,32.14,511.00,4.53,72.00,12.00,1.19,19.00,63.20,0.13,2.00,0.00,0.00,2.70,43.00,1.64,26.00,2.14,34.00,2.96,29.00,14.00
Mickaël Alphonse\Mickael-Alphonse,GPE,DF,Dijon,fr Ligue 1,30.00,15.30,35.23,539.00,945.00,13.14,201.00,0.72,11.00,18.00,1.96,30.00,60.00,0.02,0.30,0.00,0.00,1.11,17.00,0.59,9.00,2.03,31.00,1.11,12.00,5.00
Yeray Álvarez\Yeray-Alvarez,es ESP,DF,Athletic Club,es La Liga,24.00,31.20,33.24,1037.00,1817.00,2.21,69.00,0.64,20.00,11.00,0.42,13.00,84.60,0.02,0.50,0.03,1.00,0.35,11.00,0.10,3.00,2.31,72.00,0.58,8.00,3.00
Bruno Alves\Bruno-Alves,pt POR,DF,Parma,it Serie A,37.00,29.70,33.87,1006.00,1608.00,2.86,85.00,1.21,36.00,2.00,0.10,3.00,66.70,0.02,0.50,0.00,0.00,0.20,6.00,0.24,7.00,2.46,73.00,0.47,5.00,1.00
Ibrahim Amadou\Ibrahim-Amadou,fr FRA,DFMF,Norwich City,eng Premier League,26.00,8.40,35.36,297.00,470.00,1.67,14.00,0.48,4.00,2.00,0.36,3.00,66.70,0.00,0.00,0.00,0.00,0.12,1.00,0.12,1.00,1.67,14.00,0.12,1.00,0.00
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,25.00,24.00,39.38,945.00,1590.00,15.79,379.00,1.33,32.00,28.00,2.33,56.00,50.00,0.05,1.30,0.04,1.00,1.00,24.00,0.58,14.00,1.92,46.00,1.04,16.00,8.00
Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,21.00,18.10,26.52,480.00,837.00,10.44,189.00,0.66,12.00,8.00,0.99,18.00,44.40,0.02,0.40,0.06,1.00,0.55,10.00,0.17,3.00,1.99,36.00,0.61,8.00,2.00
Ethan Ampadu\Ethan-Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18.00,0.90,76.67,69.00,93.00,3.33,3.00,1.11,1.00,0.00,0.00,0.00,,0.00,0.00,1.11,1.00,0.00,0.00,0.00,0.00,5.56,5.00,0.00,0.00,0.00
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,23.00,17.00,66.71,1134.00,1476.00,2.76,47.00,0.76,13.00,2.00,0.12,2.00,100.00,0.01,0.20,0.00,0.00,0.24,4.00,0.24,4.00,3.35,57.00,0.71,3.00,1.00
Djavan Anderson\Djavan-Anderson,nl NED,DFMF,Lazio,it Serie A,24.00,1.90,30.00,57.00,92.00,17.37,33.00,2.11,4.00,2.00,2.63,5.00,40.00,0.00,0.00,0.00,0.00,1.05,2.00,0.00,0.00,0.00,0.00,1.08,1.00,1.00
José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,29.00,26.20,32.98,864.00,1754.00,18.55,486.00,0.42,11.00,20.00,0.92,24.00,83.30,0.09,2.40,0.11,3.00,2.44,64.00,1.03,27.00,4.01,105.00,1.91,40.00,24.00
Angeliño\Angelino,es ESP,DF,Manchester City,eng Premier League,22.00,4.70,76.81,361.00,477.00,45.53,214.00,2.13,10.00,5.00,1.70,8.00,62.50,0.26,1.20,0.21,1.00,4.47,21.00,1.91,9.00,7.02,33.00,3.21,14.00,7.00
Angeliño\Angelino,es ESP,DF,RB Leipzig,de Bundesliga,22.00,12.20,48.44,591.00,891.00,26.64,325.00,2.13,26.00,21.00,2.21,27.00,77.80,0.19,2.30,0.00,0.00,2.70,33.00,1.64,20.00,4.10,50.00,2.98,23.00,10.00
Peter Ankersen\Peter-Ankersen,dk DEN,DF,Genoa,it Serie A,28.00,11.80,46.53,549.00,726.00,20.51,242.00,2.12,25.00,12.00,1.53,18.00,66.70,0.06,0.70,0.00,0.00,1.53,18.00,0.68,8.00,1.53,18.00,1.78,12.00,6.00
Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,32.00,19.60,38.21,749.00,1085.00,23.16,454.00,2.55,50.00,53.00,4.29,84.00,63.10,0.15,3.00,0.00,0.00,4.18,82.00,1.63,32.00,2.40,47.00,2.80,47.00,35.00
Antoñito\Antonito,es ESP,DFMF,Valladolid,es La Liga,31.00,11.40,31.14,355.00,574.00,13.16,150.00,0.88,10.00,6.00,1.40,16.00,37.50,0.14,1.60,0.09,1.00,1.14,13.00,0.88,10.00,2.19,25.00,1.49,9.00,4.00
Dennis Appiah\Dennis-Appiah,fr FRA,DF,Nantes,fr Ligue 1,27.00,17.80,35.96,640.00,1158.00,12.02,214.00,0.34,6.00,21.00,1.52,27.00,77.80,0.02,0.30,0.00,0.00,0.39,7.00,0.45,8.00,2.42,43.00,0.95,4.00,3.00
Guilherme Arana\Guilherme-Arana,br BRA,DF,Atalanta,it Serie A,22.00,0.90,46.67,42.00,68.00,22.22,20.00,3.33,3.00,0.00,2.22,2.00,0.00,0.00,0.00,0.00,0.00,4.44,4.00,1.11,1.00,2.22,2.00,2.25,3.00,1.00
Néstor Araujo\Nestor-Araujo,mx MEX,DF,Celta Vigo,es La Liga,27.00,32.10,35.79,1149.00,1824.00,1.59,51.00,0.62,20.00,1.00,0.03,1.00,100.00,0.01,0.20,0.00,0.00,0.00,0.00,0.06,2.00,1.37,44.00,0.22,0.00,0.00
Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,es La Liga,20.00,2.60,71.54,186.00,233.00,0.77,2.00,0.38,1.00,1.00,0.38,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,10.00,0.00,0.00,0.00
Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,es La Liga,32.00,22.30,33.18,740.00,1412.00,7.58,169.00,0.49,11.00,4.00,0.27,6.00,66.70,0.00,0.10,0.00,0.00,0.67,15.00,0.18,4.00,4.53,101.00,0.90,10.00,5.00
Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27.00,12.00,40.67,488.00,780.00,20.25,243.00,1.58,19.00,4.00,0.58,7.00,57.10,0.09,1.10,0.08,1.00,2.33,28.00,0.83,10.00,2.33,28.00,1.76,21.00,7.00
Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18.00,0.00,#DIV/0!,2.00,4.00,#DIV/0!,0.00,#DIV/0!,0.00,0.00,#DIV/0!,0.00,,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,0.00,0.00,0.00
Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30.00,7.10,42.82,304.00,428.00,23.24,165.00,3.10,22.00,13.00,2.11,15.00,86.70,0.10,0.70,0.00,0.00,0.70,5.00,1.55,11.00,2.39,17.00,2.25,3.00,2.00
Tommaso Augello\Tommaso-Augello,it ITA,DF,Sampdoria,it Serie A,24.00,12.60,50.40,635.00,916.00,23.17,292.00,0.24,3.00,21.00,2.38,30.00,70.00,0.12,1.50,0.08,1.00,3.33,42.00,1.67,21.00,3.89,49.00,3.09,27.00,15.00
Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,de Bundesliga,25.00,10.30,38.83,400.00,665.00,23.50,242.00,1.55,16.00,6.00,0.87,9.00,66.70,0.12,1.20,0.00,0.00,1.55,16.00,1.55,16.00,1.46,15.00,1.95,10.00,6.00
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,eng Premier League,26.00,30.00,43.23,1297.00,2057.00,22.67,680.00,1.80,54.00,46.00,2.43,73.00,63.00,0.10,3.00,0.03,1.00,1.83,55.00,1.00,30.00,2.13,64.00,1.60,39.00,16.00
Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,es La Liga,22.00,22.20,22.93,509.00,1012.00,2.79,62.00,0.63,14.00,3.00,0.23,5.00,60.00,0.00,0.10,0.00,0.00,0.50,11.00,0.18,4.00,2.43,54.00,0.45,8.00,3.00
Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24.00,30.30,46.83,1419.00,2017.00,7.52,228.00,0.96,29.00,11.00,0.43,13.00,84.60,0.08,2.30,0.20,6.00,0.53,16.00,0.56,17.00,4.36,132.00,0.92,13.00,3.00
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,eng Premier League,29.00,35.90,62.14,2231.00,3273.00,24.43,877.00,2.73,98.00,15.00,0.67,24.00,62.50,0.16,5.70,0.03,1.00,2.45,88.00,1.20,43.00,4.09,147.00,2.20,60.00,28.00
Ludovic Baal\Ludovic-Baal,gf GUF,DF,Brest,fr Ligue 1,33.00,9.20,48.70,448.00,750.00,19.46,179.00,0.87,8.00,17.00,2.93,27.00,63.00,0.08,0.70,0.22,2.00,2.28,21.00,1.52,14.00,4.57,42.00,2.18,13.00,8.00
Matthias Bader\Matthias-Bader,de GER,DF,Köln,de Bundesliga,22.00,0.10,40.00,4.00,8.00,10.00,1.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25.00,1.70,30.59,52.00,87.00,0.00,0.00,0.00,0.00,1.00,0.59,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18,2.00,0.60,0.00,0.00
Dénys Bain\Denys-Bain,fr FRA,DF,Brest,fr Ligue 1,26.00,14.10,39.01,550.00,820.00,0.50,7.00,0.28,4.00,0.00,0.07,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,6.00,0.28,0.00,0.00
Leighton Baines\Leighton-Baines,eng ENG,DF,Everton,eng Premier League,34.00,4.50,33.11,149.00,255.00,22.89,103.00,0.22,1.00,1.00,0.44,2.00,50.00,0.18,0.80,0.00,0.00,2.67,12.00,1.33,6.00,1.33,6.00,2.67,7.00,5.00
Mitchel Bakker\Mitchel-Bakker,nl NED,DF,Paris S-G,fr Ligue 1,19.00,1.00,88.00,88.00,100.00,19.00,19.00,0.00,0.00,1.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,9.00,1.00,0.00,0.00
Ridle Baku\Ridle-Baku,de GER,DFMF,Mainz 05,de Bundesliga,21.00,26.10,35.10,916.00,1524.00,17.55,458.00,0.96,25.00,31.00,2.41,63.00,49.20,0.12,3.10,0.04,1.00,2.11,55.00,0.96,25.00,2.41,63.00,2.49,38.00,17.00
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,eng Premier League,27.00,13.10,26.26,344.00,653.00,2.06,27.00,1.22,16.00,0.00,0.00,0.00,,0.00,0.00,0.08,1.00,0.15,2.00,0.00,0.00,1.83,24.00,0.31,2.00,0.00
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,eng Premier League,26.00,38.00,32.89,1250.00,1937.00,24.53,932.00,1.68,64.00,43.00,1.76,67.00,64.20,0.07,2.60,0.03,1.00,1.92,73.00,0.71,27.00,1.61,61.00,1.71,45.00,28.00
Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,es La Liga,31.00,6.30,25.24,159.00,317.00,12.38,78.00,0.16,1.00,1.00,0.32,2.00,50.00,0.00,0.00,0.00,0.00,0.79,5.00,0.00,0.00,1.59,10.00,0.32,4.00,1.00
Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DFMF,Dortmund,de Bundesliga,20.00,1.50,73.33,110.00,142.00,1.33,2.00,0.00,0.00,1.00,2.00,3.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,0.00,0.00,0.00
Fodé Ballo-Touré\Fode-Ballo-Toure,fr FRA,DF,Monaco,fr Ligue 1,22.00,18.70,36.68,686.00,1067.00,15.61,292.00,1.18,22.00,30.00,2.67,50.00,60.00,0.07,1.40,0.00,0.00,1.12,21.00,0.75,14.00,2.57,48.00,1.39,14.00,7.00
Abdoulaye Bamba\Abdoulaye-Bamba,ci CIV,DF,Angers,fr Ligue 1,29.00,6.20,30.65,190.00,321.00,11.61,72.00,0.48,3.00,4.00,0.65,4.00,100.00,0.05,0.30,0.00,0.00,0.65,4.00,0.48,3.00,1.61,10.00,0.49,2.00,2.00
Mattia Bani\Mattia-Bani,it ITA,DF,Bologna,it Serie A,25.00,24.50,34.86,854.00,1436.00,1.88,46.00,0.86,21.00,2.00,0.16,4.00,50.00,0.00,0.00,0.00,0.00,0.12,3.00,0.04,1.00,2.41,59.00,0.33,2.00,1.00
Federico Barba\Federico-Barba,it ITA,DF,Valladolid,es La Liga,25.00,5.00,32.20,161.00,275.00,9.20,46.00,0.60,3.00,1.00,0.40,2.00,50.00,0.02,0.10,0.00,0.00,0.60,3.00,0.40,2.00,4.00,20.00,0.60,2.00,1.00
Danilo Barbosa\Danilo-Barbosa,br BRA,DFMF,Nice,fr Ligue 1,23.00,12.50,59.60,745.00,959.00,7.52,94.00,0.88,11.00,10.00,1.28,16.00,62.50,0.03,0.40,0.08,1.00,0.40,5.00,0.56,7.00,5.28,66.00,1.36,5.00,0.00
Melvin Bard\Melvin-Bard,fr FRA,DF,Lyon,fr Ligue 1,18.00,0.50,72.00,36.00,47.00,54.00,27.00,2.00,1.00,0.00,0.00,0.00,,0.20,0.10,0.00,0.00,0.00,0.00,4.00,2.00,2.00,1.00,4.00,0.00,0.00
Phil Bardsley\Phil-Bardsley,sco SCO,DF,Burnley,eng Premier League,34.00,21.00,24.76,520.00,1130.00,11.43,240.00,0.52,11.00,5.00,0.38,8.00,62.50,0.03,0.70,0.10,2.00,0.81,17.00,0.33,7.00,3.19,67.00,0.76,15.00,2.00
Antonio Barragán\Antonio-Barragan,es ESP,DF,Betis,es La Liga,32.00,7.10,53.52,380.00,518.00,27.61,196.00,1.41,10.00,3.00,0.56,4.00,75.00,0.08,0.60,0.14,1.00,3.52,25.00,1.13,8.00,2.96,21.00,2.67,19.00,6.00
Antonio Barreca\Antonio-Barreca,it ITA,DFMF,Genoa,it Serie A,24.00,12.20,28.93,353.00,505.00,18.28,223.00,1.48,18.00,7.00,1.64,20.00,35.00,0.03,0.40,0.00,0.00,1.23,15.00,0.41,5.00,0.90,11.00,1.15,10.00,5.00
Marc Bartra\Marc-Bartra,es ESP,DFMF,Betis,es La Liga,28.00,28.00,47.71,1336.00,2000.00,3.79,106.00,1.11,31.00,13.00,0.68,19.00,68.40,0.04,1.00,0.14,4.00,0.21,6.00,0.11,3.00,2.82,79.00,0.43,6.00,0.00
Chris Basham\Chris-Basham,eng ENG,DF,Sheffield Utd,eng Premier League,31.00,36.00,27.47,989.00,1951.00,10.22,368.00,1.17,42.00,27.00,0.89,32.00,84.40,0.03,1.00,0.00,0.00,0.53,19.00,0.33,12.00,1.86,67.00,0.69,12.00,7.00
Thomas Basila\Thomas-Basila,fr FRA,DF,Nantes,fr Ligue 1,20.00,4.60,39.57,182.00,293.00,7.61,35.00,0.65,3.00,1.00,0.22,1.00,100.00,0.02,0.10,0.00,0.00,0.43,2.00,0.22,1.00,2.39,11.00,0.22,1.00,1.00
Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFMF,Granada,es La Liga,22.00,4.00,30.25,121.00,189.00,18.75,75.00,2.75,11.00,9.00,2.75,11.00,81.80,0.10,0.40,0.25,1.00,1.00,4.00,1.75,7.00,2.00,8.00,3.03,3.00,1.00
Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFMF,Monaco,fr Ligue 1,22.00,11.70,46.84,548.00,813.00,21.11,247.00,2.05,24.00,28.00,3.68,43.00,65.10,0.15,1.70,0.17,2.00,1.88,22.00,1.11,13.00,3.16,37.00,2.55,19.00,3.00
Alessandro Bastoni\Alessandro-Bastoni,it ITA,DF,Inter,it Serie A,20.00,21.30,55.07,1173.00,1623.00,8.17,174.00,0.80,17.00,8.00,0.70,15.00,53.30,0.08,1.60,0.09,2.00,0.85,18.00,0.75,16.00,4.32,92.00,1.41,13.00,5.00
Bastos\Bastos,ao ANG,DF,Lazio,it Serie A,28.00,8.50,43.53,370.00,509.00,6.00,51.00,0.82,7.00,14.00,2.24,19.00,73.70,0.00,0.00,0.00,0.00,0.12,1.00,0.00,0.00,2.47,21.00,0.82,1.00,0.00
Rodrigo Becão\Rodrigo-Becao,br BRA,DF,Udinese,it Serie A,23.00,24.60,33.94,835.00,1298.00,2.64,65.00,0.73,18.00,2.00,0.24,6.00,33.30,0.01,0.30,0.00,0.00,0.08,2.00,0.12,3.00,2.07,51.00,0.24,2.00,0.00
Timo Becker\Timo-Becker,de GER,DFMF,Schalke 04,de Bundesliga,22.00,3.70,37.30,138.00,201.00,14.32,53.00,3.24,12.00,4.00,2.43,9.00,44.40,0.05,0.20,0.00,0.00,1.08,4.00,1.08,4.00,3.51,13.00,2.14,3.00,1.00
