Player,Nation,Pos,Squad,Comp,Age,90s,PassesReceivedp90,PassesReceived,Touches,TouchesAttacking3rdp90,TouchesAttacking3rd,TouchesAttackingPenp90,TouchesAttackingPen,SuccDribbles,Attdribblesp90,AttDribbles,SuccDribblesPerc,xAp90,xA,TBp90,TB,Succ Deliveries to boxp90,Succ Deliveries to box,KPp90,KP,PassingFinal3rdp90,PassingFinal3rd,SCAp90,PPA,CrsPA
Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,es La Liga,22.00,16.00,41.44,663.00,956.00,1.25,20.00,0.25,4.00,8.00,0.50,8.00,100.00,0.00,0.00,0.00,0.00,0.13,2.00,0.06,1.00,2.13,34.00,0.37,1.00,1.00
Bafodé Diakité\Bafode-Diakite,fr FRA,DF,Toulouse,fr Ligue 1,18.00,15.20,33.49,509.00,805.00,3.22,49.00,0.72,11.00,6.00,0.59,9.00,66.70,0.00,0.00,0.00,0.00,0.33,5.00,0.07,1.00,1.51,23.00,0.46,3.00,2.00
Abdou Diallo\Abdou-Diallo,fr FRA,DF,Paris S-G,fr Ligue 1,23.00,13.30,69.40,923.00,1169.00,5.49,73.00,0.60,8.00,17.00,1.58,21.00,81.00,0.01,0.10,0.08,1.00,0.45,6.00,0.23,3.00,6.32,84.00,0.75,5.00,1.00
Moussa Diarra\Moussa-Diarra,fr FRA,DF,Toulouse,fr Ligue 1,18.00,1.00,40.00,40.00,65.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00
Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,es La Liga,31.00,32.00,29.47,943.00,1878.00,13.66,437.00,0.44,14.00,15.00,0.81,26.00,57.70,0.09,2.90,0.09,3.00,1.59,51.00,0.84,27.00,3.13,100.00,1.44,33.00,18.00
Bakaye Dibassy\Bakaye-Dibassy,ml MLI,DF,Amiens,fr Ligue 1,29.00,20.80,33.51,697.00,1139.00,4.57,95.00,0.67,14.00,10.00,0.58,12.00,83.30,0.00,0.10,0.00,0.00,0.24,5.00,0.14,3.00,1.54,32.00,0.39,3.00,2.00
Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,eng Premier League,25.00,14.90,48.52,723.00,1035.00,4.09,61.00,0.74,11.00,3.00,0.34,5.00,60.00,0.01,0.10,0.00,0.00,0.20,3.00,0.27,4.00,3.76,56.00,0.67,3.00,0.00
Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,eng Premier League,26.00,33.70,38.22,1288.00,2366.00,26.14,881.00,1.87,63.00,25.00,1.28,43.00,58.10,0.17,5.70,0.09,3.00,1.96,66.00,2.08,70.00,2.88,97.00,3.09,42.00,24.00
Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,eng Premier League,28.00,38.00,67.58,2568.00,3465.00,2.84,108.00,1.29,49.00,3.00,0.13,5.00,60.00,0.03,1.30,0.21,8.00,0.24,9.00,0.18,7.00,6.00,228.00,0.58,9.00,0.00
Mitchell Dijks\Mitchell-Dijks,nl NED,DF,Bologna,it Serie A,26.00,11.20,37.41,419.00,650.00,17.23,193.00,0.54,6.00,9.00,2.32,26.00,34.60,0.07,0.80,0.00,0.00,1.43,16.00,0.98,11.00,3.39,38.00,1.43,9.00,7.00
Federico Dimarco\Federico-Dimarco,it ITA,DF,Hellas Verona,it Serie A,21.00,5.80,58.62,340.00,476.00,34.14,198.00,3.10,18.00,4.00,1.03,6.00,66.70,0.33,1.90,0.17,1.00,2.41,14.00,2.24,13.00,5.34,31.00,3.11,10.00,4.00
Federico Dimarco\Federico-Dimarco,it ITA,DFMF,Inter,it Serie A,21.00,0.30,43.33,13.00,19.00,20.00,6.00,3.33,1.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,1.00,0.00,0.00,0.00
Issa Diop\Issa-Diop,fr FRA,DF,West Ham,eng Premier League,22.00,30.70,20.36,625.00,1268.00,1.11,34.00,0.72,22.00,4.00,0.16,5.00,80.00,0.03,0.80,0.00,0.00,0.07,2.00,0.13,4.00,1.66,51.00,0.29,2.00,0.00
Axel Disasi\Axel-Disasi,fr FRA,DF,Reims,fr Ligue 1,21.00,27.00,43.70,1180.00,1717.00,2.19,59.00,0.74,20.00,10.00,0.52,14.00,71.40,0.02,0.50,0.11,3.00,0.37,10.00,0.15,4.00,2.96,80.00,0.63,10.00,0.00
Tiago Djaló\Tiago-Djalo,pt POR,DF,Lille,fr Ligue 1,19.00,7.30,47.95,350.00,505.00,3.01,22.00,0.14,1.00,1.00,0.41,3.00,33.30,0.00,0.00,0.00,0.00,0.27,2.00,0.00,0.00,2.05,15.00,0.27,2.00,0.00
Djené\Djene,tg TOG,DF,Getafe,es La Liga,27.00,34.00,13.21,449.00,1295.00,1.65,56.00,0.41,14.00,11.00,0.41,14.00,78.60,0.01,0.40,0.00,0.00,0.18,6.00,0.18,6.00,2.06,70.00,0.29,4.00,2.00
Koffi Djidji\Koffi-Djidji,ci CIV,DF,Torino,it Serie A,26.00,9.50,30.84,293.00,531.00,1.47,14.00,0.00,0.00,7.00,0.84,8.00,87.50,0.01,0.10,0.00,0.00,0.00,0.00,0.21,2.00,1.37,13.00,0.32,0.00,0.00
Alexander Djiku\Alexander-Djiku,fr FRA,DFMF,Strasbourg,fr Ligue 1,24.00,22.90,41.97,961.00,1503.00,3.10,71.00,0.83,19.00,13.00,0.74,17.00,76.50,0.02,0.50,0.00,0.00,0.17,4.00,0.22,5.00,2.88,66.00,0.61,3.00,1.00
Berat Djimsiti\Berat-Djimsiti,al ALB,DF,Atalanta,it Serie A,26.00,30.90,46.86,1448.00,2163.00,8.38,259.00,1.36,42.00,13.00,0.55,17.00,76.50,0.02,0.50,0.00,0.00,0.16,5.00,0.32,10.00,2.75,85.00,0.84,5.00,0.00
Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,eng Premier League,27.00,31.50,48.95,1542.00,2157.00,20.98,661.00,3.02,95.00,29.00,1.65,52.00,55.80,0.05,1.70,0.03,1.00,0.86,27.00,0.73,23.00,2.73,86.00,2.03,18.00,9.00
Giulio Donati\Giulio-Donati,it ITA,DF,Lecce,it Serie A,29.00,19.60,39.44,773.00,1150.00,13.11,257.00,0.87,17.00,9.00,1.02,20.00,45.00,0.09,1.70,0.00,0.00,2.30,45.00,1.22,24.00,3.16,62.00,2.10,27.00,18.00
Gabriel Dos Santos\Gabriel-Dos-Santos,br BRA,DF,Lille,fr Ligue 1,21.00,23.20,51.25,1189.00,1726.00,2.37,55.00,1.12,26.00,5.00,0.30,7.00,71.40,0.00,0.10,0.00,0.00,0.09,2.00,0.13,3.00,4.78,111.00,0.60,2.00,0.00
Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Rennes,fr Ligue 1,22.00,1.00,34.00,34.00,59.00,15.00,15.00,1.00,1.00,4.00,5.00,5.00,80.00,0.10,0.10,1.00,1.00,0.00,0.00,1.00,1.00,3.00,3.00,1.40,0.00,0.00
Souleyman Doumbia\Souleyman-Doumbia,ci CIV,DF,Angers,fr Ligue 1,22.00,5.00,43.40,217.00,362.00,16.60,83.00,0.20,1.00,4.00,1.40,7.00,57.10,0.06,0.30,0.00,0.00,1.00,5.00,0.80,4.00,2.60,13.00,1.00,4.00,1.00
Mohamed Dräger\Mohamed-Drager,tn TUN,DF,Paderborn 07,de Bundesliga,23.00,16.20,39.44,639.00,1040.00,16.54,268.00,1.36,22.00,21.00,3.21,52.00,40.40,0.05,0.80,0.06,1.00,0.99,16.00,0.74,12.00,1.79,29.00,1.61,13.00,3.00
Aleksandar Dragovic\Aleksandar-Dragovic,at AUT,DF,Leverkusen,de Bundesliga,28.00,11.40,68.33,779.00,1051.00,5.09,58.00,0.26,3.00,1.00,0.09,1.00,100.00,0.01,0.10,0.00,0.00,0.26,3.00,0.09,1.00,6.23,71.00,1.05,3.00,0.00
Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,es La Liga,24.00,34.30,24.90,854.00,1566.00,1.31,45.00,0.61,21.00,6.00,0.26,9.00,66.70,0.00,0.10,0.00,0.00,0.17,6.00,0.06,2.00,1.95,67.00,0.15,5.00,1.00
Léo Duarte\Leo-Duarte,br BRA,DF,Milan,it Serie A,23.00,4.50,33.56,151.00,233.00,2.00,9.00,1.33,6.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,3.00,0.22,0.00,0.00
Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,es La Liga,30.00,5.40,33.52,181.00,299.00,1.48,8.00,1.11,6.00,1.00,0.19,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,5.00,0.74,0.00,0.00
Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,es La Liga,23.00,29.60,26.72,791.00,1651.00,11.69,346.00,1.11,33.00,4.00,0.34,10.00,40.00,0.03,1.00,0.00,0.00,0.81,24.00,0.37,11.00,3.07,91.00,1.22,16.00,8.00
Edgaras Dubickas\Edgaras-Dubickas,lt LTU,DF,Lecce,it Serie A,21.00,0.00,#DIV/0!,3.00,2.00,#DIV/0!,0.00,#DIV/0!,0.00,0.00,#DIV/0!,0.00,,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,0.00,0.00,0.00
Leo Dubois\Leo-Dubois,fr FRA,DF,Lyon,fr Ligue 1,24.00,15.00,50.13,752.00,1106.00,19.13,287.00,0.67,10.00,12.00,1.47,22.00,54.50,0.11,1.60,0.07,1.00,1.27,19.00,0.93,14.00,3.20,48.00,1.60,13.00,6.00
Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,eng Premier League,27.00,13.80,33.70,465.00,800.00,2.54,35.00,1.16,16.00,2.00,0.36,5.00,40.00,0.00,0.00,0.00,0.00,0.29,4.00,0.07,1.00,1.88,26.00,0.36,4.00,0.00
Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,eng Premier League,27.00,13.60,26.32,358.00,663.00,6.32,86.00,0.44,6.00,1.00,0.22,3.00,33.30,0.01,0.10,0.00,0.00,0.51,7.00,0.29,4.00,3.38,46.00,0.44,4.00,3.00
Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,eng Premier League,27.00,35.90,48.38,1737.00,2547.00,2.98,107.00,1.20,43.00,3.00,0.19,7.00,42.90,0.03,1.10,0.03,1.00,0.14,5.00,0.31,11.00,3.59,129.00,0.70,5.00,0.00
Erik Durm\Erik-Durm,de GER,DF,Eint Frankfurt,de Bundesliga,27.00,5.70,37.37,213.00,322.00,23.16,132.00,2.81,16.00,5.00,1.23,7.00,71.40,0.02,0.10,0.00,0.00,0.70,4.00,0.53,3.00,0.88,5.00,1.59,4.00,0.00
Riza Durmisi\Riza-Durmisi,dk DEN,DF,Nice,fr Ligue 1,25.00,1.80,47.78,86.00,117.00,21.11,38.00,0.56,1.00,1.00,1.67,3.00,33.30,0.00,0.00,0.00,0.00,1.11,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Jean-Kevin Duverne\Jean-Kevin-Duverne,fr FRA,DF,Brest,fr Ligue 1,22.00,13.10,52.37,686.00,999.00,2.60,34.00,0.38,5.00,8.00,0.99,13.00,61.50,0.02,0.20,0.15,2.00,0.15,2.00,0.15,2.00,3.74,49.00,0.84,2.00,0.00
Bruno Ecuele Manga\Bruno-Ecuele-Manga,ga GAB,DF,Dijon,fr Ligue 1,31.00,28.00,36.39,1019.00,1617.00,1.50,42.00,0.86,24.00,6.00,0.32,9.00,66.70,0.00,0.10,0.00,0.00,0.11,3.00,0.14,4.00,1.50,42.00,0.39,3.00,0.00
John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,26.00,35.40,24.32,861.00,1670.00,1.84,65.00,1.33,47.00,3.00,0.08,3.00,100.00,0.00,0.10,0.00,0.00,0.06,2.00,0.03,1.00,1.89,67.00,0.17,2.00,0.00
Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,24.00,25.90,33.90,878.00,1523.00,14.17,367.00,0.81,21.00,36.00,2.51,65.00,55.40,0.05,1.20,0.04,1.00,1.12,29.00,0.66,17.00,1.70,44.00,1.51,20.00,9.00
Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,eng Premier League,16.00,0.10,140.00,14.00,16.00,110.00,11.00,0.00,0.00,1.00,10.00,1.00,100.00,0.00,0.00,0.00,0.00,20.00,2.00,0.00,0.00,20.00,2.00,0.00,1.00,1.00
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,31.00,11.50,40.17,462.00,718.00,20.87,240.00,1.48,17.00,6.00,0.78,9.00,66.70,0.23,2.60,0.00,0.00,3.30,38.00,1.65,19.00,3.65,42.00,2.44,22.00,16.00
Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,25.00,16.80,42.98,722.00,1145.00,3.33,56.00,0.89,15.00,2.00,0.30,5.00,40.00,0.01,0.20,0.00,0.00,0.36,6.00,0.18,3.00,3.27,55.00,0.60,3.00,3.00
Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,de Bundesliga,22.00,29.10,46.80,1362.00,2022.00,1.24,36.00,0.45,13.00,8.00,0.31,9.00,88.90,0.00,0.10,0.00,0.00,0.00,0.00,0.03,1.00,1.31,38.00,0.28,0.00,0.00
Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,25.00,23.60,24.11,569.00,1111.00,0.93,22.00,0.64,15.00,4.00,0.17,4.00,100.00,0.00,0.10,0.00,0.00,0.00,0.00,0.04,1.00,1.14,27.00,0.08,0.00,0.00
Emerson\Emerson,br BRA,DF,Betis,es La Liga,20.00,31.50,42.54,1340.00,2008.00,21.40,674.00,3.05,96.00,21.00,1.27,40.00,52.50,0.13,4.10,0.03,1.00,2.25,71.00,0.95,30.00,1.78,56.00,1.81,50.00,21.00
Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,25.00,9.50,37.16,353.00,571.00,3.37,32.00,0.32,3.00,3.00,0.32,3.00,100.00,0.00,0.00,0.00,0.00,0.21,2.00,0.11,1.00,2.95,28.00,0.42,2.00,0.00
Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,eng Premier League,24.00,16.10,29.13,469.00,776.00,2.11,34.00,0.81,13.00,2.00,0.12,2.00,100.00,0.01,0.10,0.00,0.00,0.12,2.00,0.06,1.00,2.86,46.00,0.37,1.00,1.00
Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,29.00,8.60,52.56,452.00,707.00,17.44,150.00,1.40,12.00,7.00,1.28,11.00,63.60,0.06,0.50,0.12,1.00,1.51,13.00,0.70,6.00,3.60,31.00,1.40,9.00,4.00
Espeto\Espeto,br BRA,DFMF,SPAL,it Serie A,22.00,23.40,41.28,966.00,1227.00,22.86,535.00,3.03,71.00,53.00,3.72,87.00,60.90,0.05,1.20,0.04,1.00,1.37,32.00,1.03,24.00,1.54,36.00,2.77,24.00,8.00
Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Espanyol,es La Liga,30.00,25.10,29.68,745.00,1335.00,2.67,67.00,1.59,40.00,1.00,0.04,1.00,100.00,0.02,0.50,0.00,0.00,0.04,1.00,0.16,4.00,1.16,29.00,0.32,1.00,0.00
Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Osasuna,es La Liga,21.00,33.10,40.73,1348.00,2256.00,20.39,675.00,1.39,46.00,63.00,3.26,108.00,58.30,0.11,3.60,0.06,2.00,2.84,94.00,1.33,44.00,3.02,100.00,2.27,57.00,37.00
Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,31.00,16.10,10.75,173.00,581.00,1.86,30.00,0.68,11.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.12,2.00,0.06,1.00,1.12,18.00,0.31,1.00,1.00
Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,31.00,37.60,50.66,1905.00,2810.00,2.77,104.00,1.04,39.00,9.00,0.27,10.00,90.00,0.02,0.60,0.05,2.00,0.16,6.00,0.19,7.00,3.83,144.00,0.59,5.00,1.00
Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,29.00,9.30,40.32,375.00,638.00,16.34,152.00,0.43,4.00,6.00,0.65,6.00,100.00,0.03,0.30,0.00,0.00,1.08,10.00,0.65,6.00,3.01,28.00,1.40,7.00,3.00
Luca Falbo\Luca-Falbo,it ITA,DF,Lazio,it Serie A,19.00,0.00,#DIV/0!,1.00,2.00,#DIV/0!,0.00,#DIV/0!,0.00,0.00,#DIV/0!,0.00,,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,#DIV/0!,0.00,0.00,0.00,0.00
Eliseo Falcon\Eliseo-Falcon,es ESP,DFMF,Levante,es La Liga,22.00,0.80,23.75,19.00,28.00,2.50,2.00,0.00,0.00,2.00,2.50,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.00,0.00,0.00,0.00
Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,de Bundesliga,27.00,1.00,38.00,38.00,74.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,5.00,5.00,2.00,0.00,0.00
Paolo Faragò\Paolo-Farago,it ITA,DF,Cagliari,it Serie A,26.00,14.90,46.85,698.00,1084.00,18.66,278.00,1.34,20.00,10.00,1.01,15.00,66.70,0.05,0.80,0.00,0.00,1.28,19.00,0.87,13.00,2.82,42.00,1.74,12.00,7.00
Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,27.00,35.90,37.41,1343.00,2161.00,19.30,693.00,1.98,71.00,41.00,1.92,69.00,59.40,0.06,2.30,0.14,5.00,2.09,75.00,0.75,27.00,2.53,91.00,1.67,57.00,18.00
Mohamed Fares\Mohamed-Fares,dz ALG,DFMF,SPAL,it Serie A,23.00,4.70,43.83,206.00,262.00,14.04,66.00,0.64,3.00,5.00,1.70,8.00,62.50,0.15,0.70,0.00,0.00,1.28,6.00,0.43,2.00,1.70,8.00,1.07,4.00,2.00
Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,32.00,22.00,44.05,969.00,1502.00,19.68,433.00,1.59,35.00,6.00,0.82,18.00,33.30,0.08,1.80,0.05,1.00,2.68,59.00,1.27,28.00,2.91,64.00,2.45,40.00,19.00
Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,32.00,13.50,39.26,530.00,793.00,2.96,40.00,0.81,11.00,9.00,0.89,12.00,75.00,0.03,0.40,0.15,2.00,0.00,0.00,0.07,1.00,2.15,29.00,0.52,0.00,0.00
Zouhair Feddal\Zouhair-Feddal,ma MAR,DF,Betis,es La Liga,30.00,15.90,55.41,881.00,1236.00,2.20,35.00,1.01,16.00,4.00,0.31,5.00,80.00,0.04,0.70,0.06,1.00,0.13,2.00,0.31,5.00,2.58,41.00,0.82,2.00,0.00
Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,30.00,23.40,28.29,662.00,1175.00,1.92,45.00,1.20,28.00,4.00,0.21,5.00,80.00,0.00,0.10,0.00,0.00,0.00,0.00,0.17,4.00,1.20,28.00,0.51,0.00,0.00
Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,22.00,22.50,43.82,986.00,1405.00,4.76,107.00,0.76,17.00,7.00,0.44,10.00,70.00,0.01,0.30,0.04,1.00,0.36,8.00,0.18,4.00,3.60,81.00,0.67,7.00,1.00
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,21.00,21.80,29.27,638.00,1193.00,1.61,35.00,0.55,12.00,4.00,0.23,5.00,80.00,0.03,0.60,0.09,2.00,0.05,1.00,0.23,5.00,1.38,30.00,0.27,1.00,0.00
Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,eng Premier League,28.00,24.90,32.53,810.00,1505.00,18.39,458.00,0.84,21.00,25.00,1.45,36.00,69.40,0.06,1.60,0.00,0.00,1.77,44.00,0.76,19.00,2.25,56.00,1.29,28.00,16.00
Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,30.00,29.10,29.73,865.00,1561.00,5.53,161.00,0.72,21.00,11.00,0.48,14.00,78.60,0.01,0.20,0.03,1.00,0.38,11.00,0.10,3.00,1.44,42.00,0.34,7.00,4.00
Fernandinho\Fernandinho,br BRA,DF,Manchester City,eng Premier League,34.00,26.60,70.83,1884.00,2435.00,4.25,113.00,0.79,21.00,12.00,0.53,14.00,85.70,0.02,0.60,0.08,2.00,0.45,12.00,0.26,7.00,8.50,226.00,1.01,11.00,1.00
Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,25.00,11.20,25.00,280.00,548.00,1.79,20.00,0.36,4.00,7.00,0.80,9.00,77.80,0.00,0.00,0.00,0.00,0.18,2.00,0.00,0.00,1.88,21.00,0.45,2.00,0.00
Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,22.00,11.30,65.22,737.00,948.00,25.93,293.00,2.83,32.00,11.00,1.77,20.00,55.00,0.06,0.70,0.09,1.00,0.88,10.00,0.97,11.00,4.25,48.00,1.33,9.00,1.00
Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Valencia,es La Liga,28.00,8.40,44.17,371.00,552.00,15.12,127.00,1.90,16.00,7.00,1.19,10.00,70.00,0.08,0.70,0.24,2.00,1.90,16.00,0.36,3.00,2.50,21.00,2.17,11.00,5.00
Alessandro Florenzi\Alessandro-Florenzi,it ITA,DFFW,Roma,it Serie A,28.00,11.10,50.27,558.00,780.00,18.74,208.00,2.52,28.00,2.00,0.99,11.00,18.20,0.18,2.00,0.00,0.00,1.62,18.00,1.17,13.00,4.41,49.00,0.84,14.00,4.00
Mamadou Fofana\Mamadou-Fofana,ml MLI,DFMF,Metz,fr Ligue 1,21.00,17.60,32.39,570.00,938.00,3.24,57.00,0.34,6.00,5.00,0.34,6.00,83.30,0.01,0.10,0.00,0.00,0.06,1.00,0.23,4.00,1.36,24.00,0.74,1.00,0.00
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,18.00,13.50,35.93,485.00,822.00,3.11,42.00,0.89,12.00,6.00,0.59,8.00,75.00,0.01,0.10,0.07,1.00,0.00,0.00,0.15,2.00,1.93,26.00,0.52,0.00,0.00
Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,24.00,27.00,34.59,934.00,1558.00,13.85,374.00,1.07,29.00,15.00,1.04,28.00,53.60,0.06,1.50,0.00,0.00,1.41,38.00,0.89,24.00,2.04,55.00,1.56,25.00,13.00
José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,35.00,24.50,47.63,1167.00,1663.00,2.73,67.00,1.35,33.00,5.00,0.24,6.00,83.30,0.02,0.60,0.04,1.00,0.12,3.00,0.20,5.00,2.37,58.00,0.49,3.00,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,21.00,1.50,44.67,67.00,84.00,13.33,20.00,2.00,3.00,1.00,0.67,1.00,100.00,0.07,0.10,0.00,0.00,0.00,0.00,1.33,2.00,1.33,2.00,1.99,0.00,0.00
Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,26.00,12.40,23.71,294.00,551.00,10.65,132.00,0.48,6.00,12.00,1.85,23.00,52.20,0.01,0.10,0.00,0.00,0.81,10.00,0.32,4.00,1.53,19.00,0.88,6.00,4.00
Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,eng Premier League,21.00,0.80,57.50,46.00,77.00,12.50,10.00,0.00,0.00,1.00,3.75,3.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,1.25,1.00,3.75,3.00,1.32,0.00,0.00
Gianluca Frabotta\Gianluca-Frabotta,it ITA,DF,Juventus,it Serie A,20.00,1.00,55.00,55.00,72.00,23.00,23.00,1.00,1.00,1.00,3.00,3.00,33.30,0.00,0.00,1.00,1.00,2.00,2.00,0.00,0.00,4.00,4.00,0.00,2.00,0.00
Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,23.00,13.10,23.51,308.00,678.00,10.84,142.00,0.38,5.00,6.00,0.84,11.00,54.50,0.05,0.70,0.08,1.00,1.22,16.00,0.38,5.00,3.05,40.00,0.84,12.00,4.00
Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,eng Premier League,34.00,10.80,37.96,410.00,695.00,6.76,73.00,0.93,10.00,4.00,0.65,7.00,57.10,0.03,0.30,0.09,1.00,0.83,9.00,0.37,4.00,2.41,26.00,0.65,5.00,4.00
Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,eng Premier League,26.00,24.90,32.13,800.00,1382.00,16.79,418.00,1.29,32.00,13.00,1.16,29.00,44.80,0.10,2.40,0.00,0.00,1.61,40.00,1.00,25.00,1.73,43.00,1.89,25.00,15.00
Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,21.00,24.30,38.19,928.00,1583.00,14.12,343.00,0.58,14.00,13.00,0.74,18.00,72.20,0.08,1.90,0.12,3.00,1.56,38.00,0.91,22.00,2.63,64.00,1.44,25.00,13.00
Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,23.00,31.00,28.97,898.00,1533.00,2.87,89.00,1.13,35.00,12.00,0.58,18.00,66.70,0.02,0.60,0.03,1.00,0.23,7.00,0.10,3.00,3.13,97.00,0.74,5.00,2.00
Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,33.00,8.60,56.05,482.00,735.00,12.91,111.00,0.23,2.00,4.00,0.81,7.00,57.10,0.01,0.10,0.12,1.00,0.93,8.00,0.23,2.00,4.77,41.00,0.82,6.00,2.00
Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,es La Liga,28.00,5.00,42.40,212.00,310.00,1.60,8.00,0.80,4.00,1.00,0.20,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.00,2.20,11.00,0.79,0.00,0.00
Matteo Gabbia\Matteo-Gabbia,it ITA,DF,Milan,it Serie A,19.00,7.60,44.61,339.00,505.00,2.11,16.00,0.66,5.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.84,14.00,0.66,0.00,0.00
Ruben Gabrielsen\Ruben-Gabrielsen,no NOR,DF,Toulouse,fr Ligue 1,27.00,7.30,30.00,219.00,354.00,0.82,6.00,0.55,4.00,3.00,0.41,3.00,100.00,0.00,0.00,0.00,0.00,0.14,1.00,0.14,1.00,1.10,8.00,0.27,1.00,0.00
Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,29.00,28.90,34.53,998.00,1686.00,11.38,329.00,1.56,45.00,16.00,0.80,23.00,69.60,0.08,2.30,0.03,1.00,1.11,32.00,0.80,23.00,3.29,95.00,1.59,23.00,9.00
Fran Gámez\Fran-Gamez,es ESP,DF,Mallorca,es La Liga,28.00,19.60,32.04,628.00,1104.00,17.04,334.00,0.92,18.00,16.00,1.12,22.00,72.70,0.05,0.90,0.05,1.00,1.33,26.00,0.71,14.00,2.14,42.00,1.22,17.00,9.00
