Player,Nation,Pos,Squad,Comp,Age,90s,TacklesAttemptedp90,TacklesAttempted,TacklesWonp90,TacklesWon,Def. Duels Attemptedp90,Def. Duels Attempted,Def. Duels Won Perc,Succ Pressure Perc,Def 3rd Pressurep90,Def 3rd Pressure,Mid 3rd Pressurep90,Mid 3rd Pressure,Interceptionsp90,Interceptions,Foulsp90,Fouls,AerialDuels_won,AerialDuels_lost,AerialDuelsAttemptedp90,AerialDuelsPer,TimesDribbledPastp90,TimesDribbledPast,TouchesAttacking3rd
Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,eng Premier League,27,14,1.93,27,1.21,17,1.36,19,57.9,35,6.93,97,3.07,43,2.14,30,0.86,12,44,16,4.29,73.3,0.57,8,15
Makoto Hasebe\Makoto-Hasebe,jp JPN,DFMF,Eint Frankfurt,de Bundesliga,35,21.9,1.6,35,0.91,20,1.69,37,32.4,42.9,6.03,132,4.16,91,1.14,25,0.27,6,28,29,2.6,49.1,1.14,25,60
Hans Hateboer\Hans-Hateboer,nl NED,DF,Atalanta,it Serie A,25,26.2,1.6,42,0.92,24,1.87,49,44.9,30.3,4.08,107,5.99,157,0.38,10,1.68,44,34,30,2.44,53.1,1.03,27,690
Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,eng Premier League,24,17.2,1.57,27,1.28,22,1.28,22,50,40.1,6.51,112,3.43,59,1.16,20,1.4,24,102,37,8.08,73.4,0.64,11,46
Dominique Heintz\Dominique-Heintz,de GER,DF,Freiburg,de Bundesliga,25,27,1.96,53,1.11,30,1.44,39,38.5,27.9,6.67,180,2.3,62,1.52,41,0.56,15,43,33,2.81,56.6,0.89,24,63
Benjamin Henrichs\Benjamin-Henrichs,de GER,DFMF,Monaco,fr Ligue 1,22,9.9,2.53,25,1.31,13,3.43,34,35.3,29.4,6.67,66,8.08,80,1.72,17,1.31,13,9,8,1.72,52.9,2.22,22,147
Dalbert Henrique\Dalbert-Henrique,br BRA,DF,Fiorentina,it Serie A,25,27.6,2.28,63,1.09,30,2.07,57,29.8,26.8,7.68,212,7.21,199,0.58,16,1.88,52,28,28,2.03,50,1.45,40,578
Christophe Hérelle\Christophe-Herelle,mq MTQ,DF,Nice,fr Ligue 1,26,12.3,1.46,18,0.73,9,0.65,8,50,18.9,2.52,31,2.68,33,1.38,17,1.38,17,16,14,2.44,53.3,0.33,4,79
Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,es La Liga,24,13.5,0.96,13,0.67,9,1.41,19,36.8,27.8,3.63,49,2.81,38,0.96,13,1.33,18,26,20,3.41,56.5,0.89,12,23
Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,es La Liga,30,29,1.45,42,0.83,24,0.69,20,70,45.3,3.45,100,2.28,66,1.28,37,0.72,21,100,38,4.76,72.5,0.21,6,30
Lucas Hernández\Lucas-Hernandez,fr FRA,DF,Bayern Munich,de Bundesliga,23,10.2,1.96,20,0.88,9,1.96,20,60,36.5,6.86,70,4.02,41,1.57,16,1.37,14,21,6,2.65,77.8,0.78,8,108
Theo Hernández\Theo-Hernandez,fr FRA,DF,Milan,it Serie A,21,31.3,2.4,75,1.53,48,1.98,62,43.5,33.9,7.35,230,5.81,182,1.34,42,1.05,33,42,21,2.01,66.7,1.12,35,753
Vitorino Hilton\Vitorino-Hilton,br BRA,DF,Montpellier,fr Ligue 1,41,27.9,1.29,36,0.86,24,1.47,41,43.9,35.3,3.98,111,1.97,55,1.79,50,0.61,17,86,46,4.73,65.2,0.82,23,48
Martin Hinteregger\Martin-Hinteregger,at AUT,DF,Eint Frankfurt,de Bundesliga,26,30.2,2.22,67,1.56,47,1.79,54,46.3,35.6,6.32,191,3.91,118,1.16,35,1.03,31,78,51,4.27,60.5,0.96,29,187
André Hoffmann\Andre-Hoffmann,de GER,DF,Düsseldorf,de Bundesliga,26,27,1.48,40,0.81,22,1.52,41,29.3,37.8,5.74,155,2.44,66,2.15,58,0.7,19,62,49,4.11,55.9,1.07,29,36
Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,eng Premier League,23,6.5,0.92,6,0.46,3,0.46,3,66.7,29.8,4.92,32,1.54,10,0.77,5,0.62,4,16,14,4.62,53.3,0.15,1,14
José Holebas\Jose-Holebas,gr GRE,DF,Watford,eng Premier League,35,11.4,2.19,25,1.05,12,2.19,25,24,33,8.25,94,5.53,63,0.18,2,1.58,18,35,18,4.65,66,1.67,19,219
Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,eng Premier League,22,22.8,2.19,50,1.23,28,1.62,37,56.8,31.8,6.4,146,3.64,83,1.4,32,0.75,17,42,31,3.2,57.5,0.7,16,46
Josué Homawoo\Josue-Homawoo,fr FRA,DF,Nantes,fr Ligue 1,21,0.5,12,6,2,1,4,2,100,20,10,5,10,5,2,1,0,0,1,0,2,100,0,0,1
Luca Horn\Luca-Horn,de GER,DF,Wolfsburg,de Bundesliga,20,0.1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,2
Benjamin Hübner\Benjamin-Hubner,de GER,DF,Hoffenheim,de Bundesliga,30,23,1.91,44,0.91,21,1.65,38,44.7,33.2,6.17,142,2.74,63,1.3,30,1,23,66,30,4.17,68.8,0.91,21,102
Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,de Bundesliga,28,9.4,1.6,15,0.64,6,1.91,18,44.4,30.9,6.81,64,3.19,30,1.7,16,1.49,14,37,30,7.13,55.2,1.06,10,19
Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,de Bundesliga,30,28.7,2.37,68,1.64,47,1.53,44,43.2,43.3,5.96,171,3.8,109,2.09,60,0.98,28,93,38,4.56,71,0.87,25,83
Uwe Hünemeier\Uwe-Hunemeier,de GER,DF,Paderborn 07,de Bundesliga,33,13.4,1.79,24,1.42,19,2.01,27,44.4,41.1,6.72,90,2.91,39,1.94,26,1.27,17,38,28,4.93,57.6,1.12,15,40
Elseid Hysaj\Elseid-Hysaj,al ALB,DF,Napoli,it Serie A,25,16.5,1.39,23,1.03,17,1.39,23,39.1,31.5,4,66,4.18,69,1.45,24,0.48,8,9,15,1.45,37.5,0.85,14,343
Simone Iacoponi\Simone-Iacoponi,it ITA,DF,Parma,it Serie A,32,33.9,1.53,52,0.94,32,1.5,51,51,35,6.73,228,2.48,84,1.03,35,1.03,35,50,66,3.42,43.1,0.74,25,48
Iago\Iago,br BRA,DFMF,Augsburg,de Bundesliga,22,7.5,1.87,14,0.67,5,2.4,18,44.4,17.8,8.27,62,11.07,83,2,15,0.53,4,10,16,3.47,38.5,1.33,10,84
Roger Ibanez\Roger-Ibanez,br BRA,DF,Roma,it Serie A,20,6.8,1.91,13,1.18,8,1.47,10,60,31.3,5.15,35,3.97,27,2.94,20,2.21,15,16,5,3.09,76.2,0.59,4,17
Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,eng Premier League,23,0.6,5,3,5,3,0,0,,27.3,8.33,5,8.33,5,0,0,0,0,0,0,0,,0,0,8
Igor\Igor,br BRA,DF,SPAL,it Serie A,21,14.9,1.81,27,1.14,17,1.14,17,47.1,24.6,6.38,95,5.37,80,1.68,25,1.41,21,16,14,2.01,53.3,0.6,9,101
Igor\Igor,br BRA,DF,Fiorentina,it Serie A,21,6.8,1.91,13,1.47,10,1.32,9,55.6,31.5,8.68,59,3.97,27,1.32,9,1.18,8,11,1,1.76,91.7,0.59,4,48
Stefan Ilsanker\Stefan-Ilsanker,at AUT,DF,RB Leipzig,de Bundesliga,30,4.6,0.65,3,0.65,3,1.09,5,20,45.5,5.22,24,3.91,18,1.52,7,0.87,4,15,5,4.35,75,0.87,4,14
Stefan Ilsanker\Stefan-Ilsanker,at AUT,DFMF,Eint Frankfurt,de Bundesliga,30,9.3,2.8,26,1.72,16,3.33,31,35.5,38.1,7.31,68,6.45,60,2.26,21,1.72,16,29,10,4.19,74.4,2.15,20,65
Nicolas Isimat-Mirin\Nicolas-Isimat-Mirin,fr FRA,DF,Toulouse,fr Ligue 1,27,14,1.64,23,1.14,16,1,14,57.1,38.4,6.64,93,3,42,1.86,26,1.14,16,34,21,3.93,61.8,0.43,6,18
Jakub Iskra\Jakub-Iskra,pl POL,DF,SPAL,it Serie A,16,0.9,0,0,0,0,0,0,,0,4.44,4,0,0,1.11,1,0,0,1,0,1.11,100,0,0,16
Gian-Luca Itter\Gian-Luca-Itter,de GER,DFMF,Freiburg,de Bundesliga,20,0.4,2.5,1,0,0,0,0,,25,15,6,5,2,2.5,1,0,0,0,1,2.5,0,0,0,8
Armando Izzo\Armando-Izzo,it ITA,DF,Torino,it Serie A,27,29.8,1.64,49,1.11,33,1.21,36,44.4,31.1,5.7,170,4.03,120,2.42,72,1.61,48,76,35,3.72,68.5,0.67,20,200
