Player,Nation,Pos,Squad,Comp,Age,90s,TacklesAttemptedp90,TacklesAttempted,TacklesWonp90,TacklesWon,Def. Duels Attemptedp90,Def. Duels Attempted,Def. Duels Won Perc,Succ Pressure Perc,Def 3rd Pressurep90,Def 3rd Pressure,Mid 3rd Pressurep90,Mid 3rd Pressure,Interceptionsp90,Interceptions,Foulsp90,Fouls,AerialDuels_won,AerialDuels_lost,AerialDuelsAttemptedp90,AerialDuelsPer,TimesDribbledPastp90,TimesDribbledPast,TouchesAttacking3rd
Thilo Kehrer\Thilo-Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,5.3,1.89,10,1.13,6,1.7,9,33.3,30.2,3.58,19,4.34,23,0.19,1,1.13,6,12,10,4.15,54.5,1.13,6,59
Lloyd Kelly\Lloyd-Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,7.1,1.27,9,0.85,6,1.27,9,55.6,39.7,5.49,39,3.8,27,0.85,6,0.99,7,9,16,3.52,36,0.56,4,55
Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,17.2,1.4,24,1.05,18,1.69,29,41.4,34.8,7.5,129,2.44,42,0.87,15,0.52,9,33,24,3.31,57.9,0.99,17,93
Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22,30.2,1.95,59,1.29,39,1.75,53,39.6,32.3,6.06,183,5.46,165,0.96,29,0.93,28,31,30,2.02,50.8,1.06,32,513
Luca Kilian\Luca-Kilian,de GER,DF,Paderborn 07,de Bundesliga,19,14,2.71,38,1.79,25,3.29,46,54.3,35.9,8.64,121,2.79,39,0.79,11,0.43,6,26,31,4.07,45.6,1.5,21,20
Max Kilman\Max-Kilman,eng ENG,DF,Wolves,eng Premier League,22,2.1,1.9,4,1.43,3,1.9,4,50,29.4,5.24,11,2.38,5,1.9,4,0.95,2,11,10,10,52.4,0.95,2,1
Presnel Kimpembe\Presnel-Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23,13.6,3.01,41,1.84,25,2.06,28,64.3,39.5,4.56,62,4.19,57,1.54,21,1.18,16,24,11,2.57,68.6,0.74,10,32
Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23,18.3,2.24,41,1.48,27,2.19,40,52.5,31,6.83,125,5.52,101,1.04,19,1.09,20,18,24,2.3,42.9,1.04,19,434
Simon Kjær\Simon-Kjaer,dk DEN,DF,Atalanta,it Serie A,30,3.2,1.25,4,0.94,3,2.19,7,42.9,28.6,6.25,20,9.06,29,2.19,7,4.06,13,10,11,6.56,47.6,1.25,4,2
Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,it Serie A,30,13.8,1.88,26,1.09,15,1.52,21,52.4,35,4.78,66,3.99,55,1.38,19,0.72,10,34,14,3.48,70.8,0.72,10,12
Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,it Serie A,33,26.2,1.37,36,0.95,25,1.53,40,50,37.4,5.76,151,3.32,87,1.11,29,0.92,24,25,28,2.02,47.2,0.76,20,35
Timm Klose\Timm-Klose,ch SUI,DF,Norwich City,eng Premier League,31,6.5,1.38,9,0.62,4,1.69,11,45.5,47.2,5.54,36,2.62,17,1.23,8,1.23,8,17,15,4.92,53.1,0.92,6,8
Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,29.4,1.63,48,0.88,26,1.39,41,41.5,37.9,5.95,175,4.46,131,1.02,30,0.41,12,53,39,3.13,57.6,0.82,24,262
Lukas Klünter\Lukas-Klunter,de GER,DF,Hertha BSC,de Bundesliga,23,20.9,2.3,48,1.1,23,1.44,30,53.3,31.6,6.79,142,4.74,99,1.29,27,1.58,33,28,23,2.44,54.9,0.67,14,214
Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,de Bundesliga,27,17.7,2.26,40,1.41,25,2.26,40,50,38.9,6.67,118,3.45,61,1.64,29,0.45,8,50,38,4.97,56.8,1.13,20,50
Robin Koch\Robin-Koch,de GER,DFMF,Freiburg,de Bundesliga,23,30.1,1.36,41,0.8,24,0.83,25,32,28.5,4.82,145,3.52,106,1.53,46,0.9,27,110,57,5.55,65.9,0.56,17,114
Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Roma,it Serie A,33,30.4,1.35,41,0.82,25,1.41,43,46.5,42.7,3.29,100,3.78,115,1.02,31,0.95,29,44,32,2.5,57.9,0.76,23,743
Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,Arsenal,eng Premier League,26,18.9,1.85,35,0.95,18,1.32,25,48,29.1,6.14,116,4.29,81,1.27,24,1.06,20,24,18,2.22,57.1,0.69,13,296
Timothée Kolodziejczak\Timothee-Kolodziejczak,fr FRA,DF,Saint-Étienne,fr Ligue 1,27,14.5,1.17,17,0.83,12,1.79,26,34.6,31,5.31,77,5.17,75,2,29,1.17,17,25,16,2.83,61,1.17,17,99
Ghislain Konan\Ghislain-Konan,ci CIV,DF,Reims,fr Ligue 1,23,14.8,2.77,41,1.69,25,2.5,37,48.6,31.5,6.89,102,3.78,56,1.69,25,1.22,18,20,34,3.65,37,1.28,19,276
Ibrahima Konaté\Ibrahima-Konate,fr FRA,DF,RB Leipzig,de Bundesliga,20,6.3,2.06,13,1.11,7,1.43,9,22.2,30.4,5.71,36,2.54,16,1.11,7,0.63,4,18,3,3.33,85.7,1.11,7,27
Lamine Koné\Lamine-Kone,ci CIV,DF,Strasbourg,fr Ligue 1,30,16.4,1.95,32,1.22,20,1.28,21,52.4,29.5,5.79,95,3.35,55,1.4,23,0.98,16,33,13,2.8,71.7,0.61,10,36
Youssouf Koné\Youssouf-Kone,ml MLI,DF,Lyon,fr Ligue 1,24,9.1,2.64,24,1.65,15,2.2,20,55,28.4,6.26,57,1.87,17,0.77,7,0.44,4,6,6,1.32,50,0.99,9,141
Ezri Konsa\Ezri-Konsa,eng ENG,DF,Aston Villa,eng Premier League,21,22.7,1.19,27,0.79,18,0.7,16,37.5,32.6,4.71,107,2.86,65,0.93,21,0.75,17,48,45,4.1,51.6,0.44,10,106
Laurent Koscielny\Laurent-Koscielny,fr FRA,DF,Bordeaux,fr Ligue 1,33,24.3,1.11,27,0.66,16,0.82,20,45,35.9,4.03,98,2.43,59,1.11,27,0.74,18,55,33,3.62,62.5,0.45,11,28
Filip Kostic\Filip-Kostic,rs SRB,DFMF,Eint Frankfurt,de Bundesliga,26,32.9,2.16,71,1.43,47,2.16,71,32.4,28,6.02,198,6.29,207,0.7,23,1.09,36,21,8,0.88,72.4,1.46,48,1015
Nianzou Kouassi\Nianzou-Kouassi,fr FRA,DFMF,Paris S-G,fr Ligue 1,17,5,1,5,0.8,4,1,5,60,42,3.8,19,5,25,0.6,3,1.2,6,11,4,3,73.3,0.4,2,22
Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,it Serie A,28,23.4,2.61,61,1.75,41,1.41,33,66.7,35.9,5.9,138,4.23,99,1.41,33,1.54,36,50,27,3.29,64.9,0.47,11,76
Jules Koundé\Jules-Kounde,fr FRA,DF,Sevilla,es La Liga,20,25.7,0.89,23,0.62,16,0.74,19,57.9,41.3,3.27,84,3.23,83,0.97,25,0.82,21,105,36,5.49,74.5,0.31,8,109
Leonardo Koutris\Leonardo-Koutris,gr GRE,DF,Mallorca,es La Liga,24,1,1,1,0,0,0,0,,40,9,9,3,3,1,1,3,3,2,4,6,33.3,0,0,11
Ismail Köybasi\Ismail-Koybasi,tr TUR,DFFW,Granada,es La Liga,30,2.6,3.08,8,2.31,6,0.38,1,0,29.4,9.62,25,6.54,17,1.92,5,1.15,3,4,6,3.85,40,0.38,1,36
Emil Krafth\Emil-Krafth,se SWE,DF,Newcastle Utd,eng Premier League,24,11.3,1.77,20,1.06,12,1.86,21,28.6,29.9,7.52,85,3.19,36,0.8,9,0.35,4,10,8,1.59,55.6,1.33,15,110
Ladislav Krejcí\Ladislav-Krejci,cz CZE,DF,Bologna,it Serie A,27,11.7,1.54,18,0.77,9,1.79,21,38.1,24.7,6.67,78,7.01,82,0.85,10,0.94,11,11,9,1.71,55,1.11,13,197
Rene Krhin\Rene-Krhin,si SVN,DFMF,Nantes,fr Ligue 1,29,3.6,1.11,4,0.83,3,1.39,5,20,34.4,5,18,3.89,14,1.67,6,0.56,2,15,3,5,83.3,1.11,4,10
Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,de Bundesliga,26,2.3,0,0,0,0,1.74,4,0,20,6.52,15,3.04,7,0,0,0.87,2,4,3,3.04,57.1,1.74,4,14
Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Hellas Verona,it Serie A,19,21.7,2.63,57,1.8,39,1.94,42,54.8,33.3,8.62,187,7.97,173,2.26,49,2.17,47,68,35,4.75,66,0.88,19,62
Layvin Kurzawa\Layvin-Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,26,9.5,2.32,22,0.95,9,2.21,21,28.6,31,4.95,47,6.63,63,1.79,17,2.11,20,20,14,3.58,58.8,1.58,15,248
Enock Kwateng\Enock-Kwateng,fr FRA,DF,Bordeaux,fr Ligue 1,22,10.9,3.39,37,1.93,21,4.5,49,40.8,28.6,5.6,61,6.88,75,2.11,23,1.83,20,29,11,3.67,72.5,2.66,29,149
Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,es La Liga,29,29.5,0.85,25,0.58,17,1.12,33,39.4,25.7,4.44,131,2.75,81,1.32,39,1.22,36,60,27,2.95,69,0.68,20,26
Stefan Lainer\Stefan-Lainer,at AUT,DF,M'gladbach,de Bundesliga,26,30.1,1.93,58,1.2,36,2.03,61,41,32.1,7.38,222,5.58,168,0.96,29,1.36,41,36,34,2.33,51.4,1.2,36,565
Kenny Lala\Kenny-Lala,fr FRA,DF,Strasbourg,fr Ligue 1,27,22.7,1.81,41,1.15,26,1.23,28,57.1,30.7,7.58,172,6.26,142,0.88,20,0.75,17,19,11,1.32,63.3,0.53,12,488
Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Chelsea,eng Premier League,18,0.4,5,2,0,0,5,2,100,100,2.5,1,2.5,1,0,0,0,0,0,0,0,,0,0,9
Tariq Lamptey\Tariq-Lamptey,eng ENG,DF,Brighton,eng Premier League,18,6.5,1.38,9,0.46,3,1.38,9,0,18.7,6,39,4.92,32,2.77,18,2,13,4,8,1.85,33.3,1.38,9,108
Loïck Landre\Loick-Landre,fr FRA,DF,Nîmes,fr Ligue 1,27,10.3,1.65,17,0.97,10,1.46,15,60,29.1,4.95,51,2.04,21,1.55,16,1.17,12,11,6,1.65,64.7,0.58,6,13
Michael Lang\Michael-Lang,ch SUI,DF,Werder Bremen,de Bundesliga,28,6,1.33,8,0.83,5,1.83,11,27.3,18.5,8.33,50,4.5,27,1.17,7,0.83,5,10,7,2.83,58.8,1.33,8,111
Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,de Bundesliga,31,3.5,1.43,5,0.86,3,1.71,6,66.7,37,5.14,18,2.57,9,1.14,4,1.43,5,8,4,3.43,66.7,0.57,2,7
Aymeric Laporte\Aymeric-Laporte,fr FRA,DF,Manchester City,eng Premier League,25,12.2,0.98,12,0.66,8,1.07,13,53.8,41.9,2.62,32,2.21,27,1.56,19,0.74,9,28,14,3.44,66.7,0.49,6,36
Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,it Serie A,35,29.3,1.57,46,0.72,21,1.19,35,42.9,29.2,7.65,224,4.03,118,1.02,30,1.47,43,79,53,4.51,59.8,0.68,20,40
Jamaal Lascelles\Jamaal-Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,25,23.1,0.78,18,0.43,10,0.61,14,35.7,36.8,4.76,110,2.03,47,1.26,29,0.95,22,83,38,5.24,68.6,0.39,9,41
Toni Lato\Toni-Lato,es ESP,DFMF,Osasuna,es La Liga,21,5.2,3.85,20,2.31,12,1.35,7,71.4,28.8,6.92,36,10.77,56,1.73,9,2.5,13,9,21,5.77,30,0.38,2,105
Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,it Serie A,30,9.8,2.96,29,2.35,23,2.04,20,75,39.1,6.73,66,5.61,55,1.22,12,1.33,13,7,13,2.04,35,0.51,5,126
Diego Laxalt\Diego-Laxalt,uy URU,DFMF,Torino,it Serie A,26,6.6,3.48,23,1.52,10,3.48,23,21.7,27.1,11.21,74,6.82,45,1.06,7,1.82,12,6,11,2.58,35.3,2.73,18,136
Diego Laxalt\Diego-Laxalt,uy URU,DF,Milan,it Serie A,26,1.9,2.11,4,1.05,2,0.53,1,0,33.3,4.21,8,6.84,13,0.53,1,2.11,4,2,5,3.68,28.6,0.53,1,35
Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Newcastle Utd,eng Premier League,23,5.3,2.08,11,0.38,2,2.64,14,42.9,22.4,8.68,46,7.55,40,0.57,3,0.57,3,4,9,2.45,30.8,1.51,8,64
Valentino Lazaro\Valentino-Lazaro,at AUT,DFMF,Inter,it Serie A,23,3.6,2.78,10,1.67,6,2.5,9,66.7,24.3,6.94,25,6.94,25,0.28,1,1.94,7,2,3,1.39,40,0.83,3,120
Darko Lazovic\Darko-Lazovic,rs SRB,DF,Hellas Verona,it Serie A,28,36,0.89,32,0.39,14,1.03,37,35.1,27.7,2.53,91,2.78,100,0.61,22,0.31,11,18,28,1.28,39.1,0.67,24,815
Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,it Serie A,25,28.3,0.67,19,0.46,13,1.02,29,34.5,29.5,3.18,90,3.96,112,0.35,10,0.74,21,3,18,0.74,14.3,0.67,19,644
Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,es La Liga,22,26.6,1.69,45,1.02,27,1.35,36,61.1,43.9,4.47,119,2.52,67,0.79,21,1.05,28,91,50,5.3,64.5,0.53,14,46
Mathew Leckie\Mathew-Leckie,au AUS,DFFW,Hertha BSC,de Bundesliga,28,2.2,2.27,5,1.82,4,0,0,,18.3,9.09,20,13.18,29,0.91,2,1.82,4,5,2,3.18,71.4,0,0,42
Jordan Lefort\Jordan-Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,9.4,0.53,5,0.43,4,0.74,7,42.9,30.8,4.47,42,2.45,23,0.74,7,0.43,4,13,9,2.34,59.1,0.43,4,30
Toni Leistner\Toni-Leistner,de GER,DF,Köln,de Bundesliga,28,11.2,1.61,18,1.25,14,0.89,10,60,45.3,4.91,55,3.39,38,3.04,34,1.43,16,52,14,5.89,78.8,0.36,4,21
Florian Lejeune\Florian-Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,4.9,1.63,8,1.22,6,1.84,9,55.6,32.8,7.96,39,3.67,18,2.24,11,1.22,6,13,4,3.47,76.5,0.82,4,18
Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,es La Liga,24,26.9,1.82,49,1.38,37,1.08,29,41.4,43.3,5.39,145,4.76,128,1.3,35,1.19,32,65,32,3.61,67,0.63,17,51
Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,de Bundesliga,24,25.2,2.42,61,1.39,35,2.38,60,31.7,31.4,8.41,212,7.9,199,1.71,43,1.35,34,44,38,3.25,53.7,1.63,41,398
Jamal Lewis\Jamal-Lewis,nir NIR,DF,Norwich City,eng Premier League,21,25.6,2.19,56,1.21,31,1.72,44,40.9,30.6,9.02,231,3.79,97,1.09,28,0.59,15,12,25,1.45,32.4,1.02,26,395
Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,14.9,1.54,23,0.6,9,1.61,24,37.5,24.8,6.24,93,3.69,55,1.21,18,0.94,14,18,14,2.15,56.3,1.01,15,191
Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,20.2,0.94,19,0.4,8,0.94,19,31.6,31.1,3.27,66,1.73,35,1.44,29,0.4,8,35,22,2.82,61.4,0.64,13,31
Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,it Serie A,19,27.2,1.47,40,0.99,27,1.07,29,48.3,33.3,4.49,122,3.16,86,1.07,29,1.07,29,69,39,3.97,63.9,0.55,15,51
Isaac Lihadji\Isaac-Lihadji,fr FRA,DFMF,Marseille,fr Ligue 1,17,0.3,0,0,0,0,3.33,1,0,33.3,3.33,1,13.33,4,0,0,3.33,1,1,2,10,33.3,3.33,1,8
Lillo\Lillo,es ESP,DF,Osasuna,es La Liga,30,2.2,2.27,5,0.91,2,1.82,4,100,21.1,3.18,7,5,11,1.36,3,1.36,3,4,1,2.27,80,0,0,30
Victor Lindelöf\Victor-Lindelof,se SWE,DF,Manchester Utd,eng Premier League,25,34.4,0.87,30,0.47,16,0.49,17,70.6,29,3.4,117,2.85,98,0.76,26,0.64,22,95,49,4.19,66,0.15,5,70
Pol Lirola\Pol-Lirola,es ESP,DF,Fiorentina,it Serie A,21,29.4,1.05,31,0.68,20,1.29,38,39.5,28.2,3.16,93,2.93,86,0.88,26,0.54,16,11,22,1.12,33.3,0.78,23,548
Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,es La Liga,25,25.9,1.24,32,0.81,21,1.12,29,55.2,37.1,4.9,127,2.86,74,1.08,28,0.81,21,61,48,4.21,56,0.5,13,45
Gautier Lloris\Gautier-Lloris,fr FRA,DF,Nice,fr Ligue 1,24,3,1.67,5,1.33,4,2,6,66.7,42.9,5.33,16,1,3,1,3,0.33,1,5,4,3,55.6,0.67,2,1
Renan Lodi\Renan-Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,26.6,2.74,73,1.73,46,2.89,77,49.4,27.8,6.65,177,5.3,141,1.69,45,1.58,42,27,31,2.18,46.6,1.47,39,500
Kevin Long\Kevin-Long,ie IRL,DF,Burnley,eng Premier League,28,6.3,1.59,10,1.27,8,1.27,8,37.5,31.5,5.56,35,2.7,17,0.63,4,1.43,9,22,16,6.03,57.9,0.79,5,4
David López\David-Lopez,es ESP,DFMF,Espanyol,es La Liga,29,27.3,1.43,39,1.1,30,1.61,44,31.8,31.3,5.79,158,7.36,201,1.25,34,1.21,33,68,54,4.47,55.7,1.1,30,140
Javi López\Javi-Lopez,es ESP,DF,Alavés,es La Liga,17,1,5,5,3,3,2,2,50,50,9,9,8,8,1,1,1,1,1,0,1,100,1,1,15
Javi López\Javi-Lopez,es ESP,DF,Espanyol,es La Liga,33,15.4,3.05,47,1.69,26,2.53,39,43.6,31,6.1,94,4.81,74,1.43,22,1.82,28,31,17,3.12,64.6,1.43,22,214
Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,es La Liga,22,3.3,0.61,2,0.3,1,0.91,3,66.7,31,4.55,15,4.24,14,0.3,1,0.61,2,4,2,1.82,66.7,0.3,1,15
Matteo Lovato\Matteo-Lovato,it ITA,DF,Hellas Verona,it Serie A,19,0.1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,eng Premier League,30,8.6,1.86,16,1.05,9,1.51,13,53.8,27.5,6.51,56,2.56,22,1.28,11,0.47,4,39,21,6.98,65,0.7,6,22
Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,30,17,2.59,44,1.41,24,2.53,43,55.8,29.7,5.82,99,4.35,74,1.53,26,0.82,14,24,14,2.24,63.2,1.12,19,237
Jan Luca Rumpf\Jan-Luca-Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1,3,3,3,3,4,4,75,66.7,4,4,1,1,0,0,1,1,2,4,6,33.3,1,1,1
Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,it Serie A,31,34.8,1.15,40,0.83,29,0.92,32,31.3,32.9,5.09,177,1.98,69,1.01,35,0.57,20,63,48,3.19,56.8,0.63,22,45
José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,24,22.1,1.95,43,1.09,24,1.81,40,45,30.5,6.7,148,3.3,73,0.77,17,0.72,16,19,32,2.31,37.3,1,22,362
José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,27.6,3.37,93,1.85,51,2.43,67,47.8,36.8,8.99,248,8.66,239,2.28,63,1.74,48,83,39,4.42,68,1.27,35,76
David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,31.2,1.06,33,0.64,20,0.83,26,38.5,34.6,4.58,143,1.38,43,0.96,30,0.96,30,58,34,2.95,63,0.51,16,54
Jordan Lukaku\Jordan-Lukaku,be BEL,DF,Lazio,it Serie A,25,4.4,1.14,5,0.68,3,0.91,4,50,33.3,5.68,25,4.09,18,0,0,1.36,6,2,1,0.68,66.7,0.45,2,97
Senad Lulic\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,17.5,1.94,34,1.37,24,2.74,48,27.1,32.4,6.23,109,7.09,124,1.26,22,1.6,28,16,11,1.54,59.3,2,35,410
Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,it Serie A,22,5.9,2.03,12,1.36,8,1.02,6,33.3,30.8,4.24,25,4.07,24,1.19,7,1.19,7,6,11,2.88,35.3,0.68,4,18
Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,22,13.1,1.98,26,1.15,15,0.76,10,50,31.6,5.65,74,4.2,55,1.76,23,1.07,14,19,16,2.67,54.3,0.38,5,31
Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,14.9,1.61,24,0.81,12,1.48,22,50,25,8.39,125,3.89,58,1.54,23,1.41,21,26,25,3.42,51,0.74,11,202
Yvann Macon\Yvann-Macon,GPE,DF,Saint-Étienne,fr Ligue 1,20,1.1,3.64,4,1.82,2,1.82,2,50,22.7,10,11,10,11,2.73,3,0.91,1,3,0,2.73,100,0.91,1,25
Lisandro Magallán\Lisandro-Magallan,ar ARG,DF,Alavés,es La Liga,25,13.3,1.88,25,0.98,13,1.05,14,42.9,27,4.29,57,2.41,32,1.05,14,1.43,19,33,21,4.06,61.1,0.6,8,12
Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DFMF,Brescia,it Serie A,23,1.3,1.54,2,0,0,1.54,2,0,16.7,4.62,6,0,0,1.54,2,1.54,2,5,0,3.85,100,1.54,2,5
Giangiacomo Magnani\Giangiacomo-Magnani,it ITA,DF,Sassuolo,it Serie A,23,1.6,0,0,0,0,1.25,2,0,40,3.13,5,0,0,1.25,2,2.5,4,10,1,6.88,90.9,1.25,2,4
Harry Maguire\Harry-Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,38,1.16,44,0.71,27,0.95,36,38.9,37.5,4.08,155,2.03,77,1.97,75,0.87,33,193,68,6.87,73.9,0.58,22,167
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,15.4,2.66,41,1.75,27,2.73,42,33.3,28.3,11.62,179,5.58,86,1.88,29,0.97,15,14,13,1.75,51.9,1.82,28,230
Nikola Maksimovic\Nikola-Maksimovic,rs SRB,DF,Napoli,it Serie A,27,20,1.8,36,1.05,21,1.35,27,59.3,24,4.4,88,3.7,74,1.55,31,1.25,25,41,21,3.1,66.1,0.55,11,77
Kévin Malcuit\Kevin-Malcuit,ma MAR,DF,Napoli,it Serie A,28,2.8,2.86,8,1.79,5,2.14,6,83.3,20,4.64,13,4.29,12,1.07,3,0.71,2,3,2,1.79,60,0.36,1,64
Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,es La Liga,28,21.8,2.89,63,1.28,28,2.29,50,40,27.1,6.93,151,4.86,106,1.15,25,1.42,31,39,26,2.98,60,1.38,30,418
Vincent Manceau\Vincent-Manceau,fr FRA,DF,Angers,fr Ligue 1,30,22,2.23,49,1.32,29,2.32,51,43.1,34.8,7.64,168,4.05,89,0.95,21,0.64,14,17,16,1.5,51.5,1.32,29,395
Gianluca Mancini\Gianluca-Mancini,it ITA,DFMF,Roma,it Serie A,23,30.4,1.81,55,1.15,35,1.61,49,30.6,28.5,7.01,213,5.03,153,2.04,62,2.2,67,78,25,3.39,75.7,1.12,34,140
Reinildo Mandava\Reinildo-Mandava,mz MOZ,DF,Lille,fr Ligue 1,25,12.3,3.9,48,2.6,32,3.41,42,59.5,32.4,6.42,79,7.8,96,1.63,20,1.71,21,17,16,2.68,51.5,1.38,17,229
Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,es La Liga,27,28.6,1.12,32,0.56,16,1.12,32,50,30.9,3.18,91,2.52,72,1.4,40,1.01,29,52,41,3.25,55.9,0.56,16,60
Eliaquim Mangala\Eliaquim-Mangala,fr FRA,DF,Valencia,es La Liga,28,7.5,0.8,6,0.53,4,0.53,4,75,36.4,4.13,31,1.47,11,1.07,8,1.73,13,16,8,3.2,66.7,0.13,1,6
Massimiliano Mangraviti\Massimiliano-Mangraviti,it ITA,DF,Brescia,it Serie A,21,10.8,0.93,10,0.46,5,0.56,6,66.7,21.9,6.11,66,3.61,39,0.65,7,0.83,9,20,21,3.8,48.8,0.19,2,48
Kostas Manolas\Kostas-Manolas,gr GRE,DF,Napoli,it Serie A,28,24.2,1.4,34,0.7,17,1.16,28,53.6,33.3,3.64,88,2.85,69,1.12,27,0.99,24,62,33,3.93,65.3,0.54,13,38
Javier Manquillo\Javier-Manquillo,es ESP,DF,Newcastle Utd,eng Premier League,25,17.8,2.64,47,1.8,32,2.19,39,61.5,32.3,6.74,120,4.33,77,1.12,20,1.07,19,18,22,2.25,45,0.84,15,212
Faitout Maouassa\Faitout-Maouassa,fr FRA,DF,Rennes,fr Ligue 1,21,20,2.95,59,1.45,29,1.35,27,66.7,27.3,6.15,123,5.15,103,1.15,23,0.7,14,21,14,1.75,60,0.45,9,279
Fernando Marçal\Fernando-Marcal,br BRA,DF,Lyon,fr Ligue 1,30,9.2,3.48,32,1.85,17,2.5,23,52.2,44.1,7.39,68,4.24,39,2.5,23,1.85,17,20,5,2.72,80,1.2,11,175
Marcelo\Marcelo,br BRA,DF,Real Madrid,es La Liga,31,14.4,1.39,20,0.83,12,2.29,33,30.3,32.8,3.06,44,4.38,63,1.25,18,0.49,7,10,7,1.18,58.8,1.6,23,462
Marcelo\Marcelo,br BRA,DF,Lyon,fr Ligue 1,32,16.7,1.92,32,0.96,16,1.2,20,50,38,4.61,77,1.68,28,1.32,22,0.78,13,75,21,5.75,78.1,0.6,10,35
Solly March\Solly-March,eng ENG,DFFW,Brighton,eng Premier League,25,12.7,2.05,26,1.34,17,1.65,21,42.9,27.8,4.25,54,4.49,57,1.65,21,0.87,11,15,15,2.36,50,0.94,12,363
Gian Marco Ferrari\Gian-Marco-Ferrari,it ITA,DF,Sassuolo,it Serie A,27,21.1,0.57,12,0.43,9,0.47,10,40,31,2.61,55,1.9,40,1.33,28,0.85,18,32,28,2.84,53.3,0.28,6,55
Óscar de Marcos\Oscar-de-Marcos,es ESP,DFFW,Athletic Club,es La Liga,30,6,0.83,5,0,0,0.83,5,40,15.3,3.83,23,5.33,32,1.33,8,1.5,9,7,13,3.33,35,0.5,3,99
Dario Maresic\Dario-Maresic,at AUT,DF,Reims,fr Ligue 1,19,1,0,0,0,0,0,0,,50,1,1,1,1,2,2,0,0,1,2,3,33.3,0,0,0
Pablo Marí\Pablo-Mari,es ESP,DF,Arsenal,eng Premier League,25,1.3,2.31,3,0.77,1,1.54,2,50,27.3,4.62,6,3.08,4,0.77,1,1.54,2,4,3,5.38,57.1,0.77,1,1
José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,es La Liga,24,19.5,1.23,24,0.56,11,0.72,14,57.1,31.6,3.03,59,1.85,36,1.08,21,0.72,14,55,17,3.69,76.4,0.31,6,24
