Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,xAp90,xA,Progpassesp90,Prog,SuccPassperc,KP90,KP,Targ,PassesReceivedp90,Final3rd,PassesFinal3rdp90,SCA,SCA90,PrgDistp90,PrgDist,npxGSh,Att,Attdribblesp90,SuccDribblesPerc,xG
119,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3,0,0,0,0,96.6,0,0,30,10,0,0,0,0,29,87,,0,0,,0
120,Santiago Arias\Santiago-Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,0.09,1.1,8.5,102,76.3,0.83,10,488,40.67,28,2.33,21,1.76,95.83,1150,0.08,7,0.58,57.1,0.5
121,Nicolò Armini\Nicolo-Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,#DIV/0!,0,#DIV/0!,0,100,#DIV/0!,0,2,#DIV/0!,0,#DIV/0!,0,0,#DIV/0!,0,,0,#DIV/0!,,0
122,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,0.06,1.2,3.51,67,76.1,0.84,16,732,38.32,33,1.73,48,2.52,121.2,2315,0.06,53,2.77,58.5,2.8
123,José Arnaiz\Jose-Arnaiz,es ESP,FWMF,Osasuna,es La Liga,24,1995,8.8,0.02,0.2,1.36,12,73,0.57,5,360,40.91,10,1.14,15,1.71,72.61,639,0.06,8,0.91,37.5,1.2
124,José Arnaiz\Jose-Arnaiz,es ESP,MFFW,Leganés,es La Liga,24,1995,3.7,0.14,0.5,2.43,9,75.3,1.89,7,152,41.08,2,0.54,14,3.74,228.38,845,0.05,23,6.22,56.5,0.5
125,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,0.19,6,6.96,218,74.8,2.17,68,1151,36.77,112,3.58,120,3.83,90.89,2845,0.04,30,0.96,73.3,2.4
126,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0,0,0,0,80.8,0,0,646,19.58,1,0.03,1,0.03,45.09,1488,,0,0,,0
127,Kwadwo Asamoah\Kwadwo-Asamoah,gh GHA,DF,Inter,it Serie A,30,1988,7.1,0.1,0.7,5.77,41,79.6,1.55,11,304,42.82,17,2.39,16,2.25,141.27,1003,0.03,15,2.11,86.7,0.1
128,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,0.01,0.1,3,21,84.4,0.29,2,214,30.57,12,1.71,4,0.57,71.29,499,0.01,10,1.43,70,0
129,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,0,0,0,0,71.4,0,0,447,13.15,8,0.24,3,0.09,28.47,968,,1,0.03,100,0
130,Marco Asensio\Marco-Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0.27,1,4.05,15,82.2,1.89,7,218,58.92,6,1.62,11,2.95,135.68,502,0.19,8,2.16,75,1.7
131,Kristoffer Askildsen\Kristoffer-Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,0.13,0.1,5,4,85.7,2.5,2,38,47.5,3,3.75,5,5.92,235,188,0.04,3,3.75,66.7,0
132,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,0.11,4.1,2.87,104,77.8,1.49,54,1959,54.12,71,1.96,103,2.84,138.37,5009,0.11,97,2.68,61.9,13.9
133,Roger Assalé\Roger-Assale,ci CIV,FWMF,Leganés,es La Liga,25,1993,5.9,0.19,1.1,3.05,18,82.7,1.02,6,268,45.42,8,1.36,19,3.22,118.81,701,0.15,20,3.39,80,1.7
134,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,es La Liga,,,0.3,0,0,0,0,71.4,0,0,13,43.33,2,6.67,1,3,40,12,0.04,0,0,,0
135,Christian Atsu\Christian-Atsu,gh GHA,FWMF,Newcastle Utd,eng Premier League,27,1992,8.3,0.11,0.9,2.53,21,78.4,1.57,13,321,38.67,2,0.24,22,2.64,141.33,1173,0.04,40,4.82,47.5,0.2
136,Youcef Attal\Youcef-Attal,dz ALG,FWDF,Nice,fr Ligue 1,23,1996,11.1,0.05,0.6,4.41,49,80.7,0.81,9,621,55.95,25,2.25,31,2.78,305.32,3389,0.08,85,7.66,48.2,1.5
