Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,xAp90,xA,Progpassesp90,Prog,SuccPassperc,KP90,KP,Targ,PassesReceivedp90,Final3rd,PassesFinal3rdp90,SCA,SCA90,PrgDistp90,PrgDist,npxGSh,Att,Attdribblesp90,SuccDribblesPerc,xG
282,Bernard\Bernard,br BRA,MFFW,Everton,eng Premier League,26,1992,14.2,0.14,2,4.65,66,74.3,1.55,22,691,48.66,37,2.61,47,3.3,147.54,2095,0.09,61,4.3,59,1.1
283,Federico Bernardeschi\Federico-Bernardeschi,it ITA,MFFW,Juventus,it Serie A,25,1994,17.5,0.19,3.4,4.11,72,81.9,1.89,33,845,48.29,38,2.17,62,3.55,128.11,2242,0.09,42,2.4,61.9,4.7
284,Bernardo\Bernardo,br BRA,DF,Brighton,eng Premier League,24,1995,7.5,0.03,0.2,6.67,50,74.7,0.4,3,327,43.6,25,3.33,10,1.33,133.73,1003,0.03,12,1.6,75,0.2
285,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,24.5,0,0,0,0,60.4,0,0,282,11.51,15,0.61,4,0.16,32.65,800,,0,0,,0
286,Juan Bernat\Juan-Bernat,es ESP,DFMF,Paris S-G,fr Ligue 1,26,1993,15.4,0.15,2.3,4.16,64,90.1,0.91,14,1010,65.58,50,3.25,25,1.62,165.58,2550,0.08,49,3.18,65.3,0.5
287,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,21,1998,2.2,0,0,0,0,88.1,0,0,23,10.45,0,0,0,0,35,77,,2,0.91,100,0
288,Andrea Bertolacci\Andrea-Bertolacci,it ITA,MF,Sampdoria,it Serie A,28,1991,5.9,0.02,0.1,4.24,25,80.4,0.34,2,237,40.17,20,3.39,12,2.02,92.54,546,0.04,11,1.86,63.6,0.1
289,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,29,1989,30.5,0.11,3.5,7.97,243,75.1,1.11,34,1205,39.51,106,3.48,62,2.04,107.31,3273,0.09,26,0.85,34.6,1.7
290,Muhamed Bešic\Muhamed-Besic,ba BIH,MF,Sheffield Utd,eng Premier League,26,1992,2.8,0.04,0.1,3.57,10,81.1,0.36,1,96,34.29,6,2.14,3,1.08,62.14,174,0.03,10,3.57,90,0.1
291,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,de Bundesliga,19,2000,1.2,0,0,2.5,3,80.5,0,0,32,26.67,0,0,1,0.82,46.67,56,,1,0.83,100,0
292,Ermin Bicakcic\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,de Bundesliga,29,1990,13.1,0.03,0.4,4.96,65,88.8,0.15,2,683,52.14,39,2.98,7,0.54,137.86,1806,0.07,3,0.23,33.3,0.6
293,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,28,1990,19.7,0.02,0.3,3.45,68,68.7,0.15,3,415,21.07,40,2.03,8,0.41,59.49,1172,0.2,2,0.1,0,1.6
294,Lucas Biglia\Lucas-Biglia,ar ARG,MF,Milan,it Serie A,33,1986,7.6,0.05,0.4,5.26,40,90.9,0.92,7,372,48.95,39,5.13,12,1.58,89.87,683,0.04,8,1.05,75,0.2
295,El Bilal Touré\El-Bilal-Toure,ml MLI,FW,Reims,fr Ligue 1,17,2001,5,0.02,0.1,0.2,1,73.5,0.6,3,177,35.4,2,0.4,7,1.39,61.2,306,0.24,6,1.2,50,3.6
296,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,eng Premier League,23,1996,28.1,0.04,1.2,3.13,88,74.5,0.57,16,1063,37.83,77,2.74,43,1.53,75.62,2125,0.07,38,1.35,52.6,2.4
297,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DFMF,Inter,it Serie A,26,1992,17.5,0.2,3.5,7.26,127,71.7,1.89,33,724,41.37,31,1.77,57,3.26,95.03,1663,0.09,19,1.09,42.1,0.9
298,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,it Serie A,25,1994,21.9,0.02,0.5,5.57,122,75,0.37,8,887,40.5,79,3.61,21,0.96,148.86,3260,0.05,53,2.42,69.8,0.3
299,Valter Birsa\Valter-Birsa,si SVN,MF,Cagliari,it Serie A,32,1986,4.8,0.08,0.4,8.96,43,81.8,1.88,9,270,56.25,30,6.25,17,3.56,193.33,928,0.02,2,0.42,50,0.1
300,Dimitri Bisoli\Dimitri-Bisoli,it ITA,MF,Brescia,it Serie A,25,1994,23.9,0.13,3,4.64,111,65.2,0.96,23,848,35.48,60,2.51,46,1.92,83.81,2003,0.09,34,1.42,64.7,2.4
301,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,22,1996,14,0.01,0.2,2.93,41,84.4,0.29,4,586,41.86,48,3.43,11,0.79,145,2030,0.03,43,3.07,60.5,0.4
302,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,FW,Hoffenheim,de Bundesliga,25,1993,0,#DIV/0!,0,#DIV/0!,0,66.7,#DIV/0!,0,4,#DIV/0!,0,#DIV/0!,1,30,#DIV/0!,65,0.03,0,#DIV/0!,,0
303,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,FWMF,Werder Bremen,de Bundesliga,25,1993,21,0.15,3.2,5.71,120,73.9,1.62,34,1060,50.48,43,2.05,68,3.24,142.57,2994,0.08,56,2.67,46.4,3.4
304,Birkir Bjarnason\Birkir-Bjarnason,is ISL,MFFW,Brescia,it Serie A,31,1988,8.9,0.04,0.4,2.47,22,76.5,0.45,4,262,29.44,20,2.25,14,1.58,85.28,759,0.07,6,0.67,33.3,0.7
305,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,32.9,0,0,0.03,1,62.1,0,0,371,11.28,9,0.27,1,0.03,40.49,1332,,0,0,,0
306,Ludovic Blas\Ludovic-Blas,fr FRA,FWMF,Nantes,fr Ligue 1,21,1997,20.5,0.11,2.2,3.51,72,79.9,1.17,24,921,44.93,50,2.44,57,2.78,148.63,3047,0.06,93,4.54,55.9,2.6
307,Pablo de Blasis\Pablo-de-Blasis,ar ARG,DFMF,Eibar,es La Liga,31,1988,17.8,0.11,2,7.7,137,69.9,0.96,17,765,42.98,79,4.44,34,1.91,87.36,1555,0.13,25,1.4,52,2.5
308,Alejandro Blesa\Alejandro-Blesa,es ESP,MF,Levante,es La Liga,17,2002,0,#DIV/0!,0,#DIV/0!,1,60,#DIV/0!,0,4,#DIV/0!,0,#DIV/0!,0,0,#DIV/0!,21,,0,#DIV/0!,,0
309,Alexis Blin\Alexis-Blin,fr FRA,MF,Amiens,fr Ligue 1,22,1996,20.5,0.03,0.7,4.44,91,84,0.34,7,810,39.51,70,3.41,16,0.78,70.78,1451,0.08,16,0.78,81.3,0.2
310,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,30,1988,20,0.08,1.5,5.65,113,90,0.2,4,1416,70.8,133,6.65,13,0.65,138.6,2772,0.06,0,0,,0.4
311,Kevin-Prince Boateng\Kevin-Prince-Boateng,gh GHA,FW,Fiorentina,it Serie A,32,1987,6.7,0.04,0.3,1.64,11,77.9,1.04,7,366,54.63,12,1.79,19,2.85,30.45,204,0.1,14,2.09,71.4,1.7
312,Antonin Bobichon\Antonin-Bobichon,fr FRA,MF,Angers,fr Ligue 1,23,1995,7.2,0.13,0.9,4.44,32,78.1,1.11,8,325,45.14,23,3.19,5,2.5,136.53,983,0.02,10,1.39,60,0
313,Antonin Bobichon\Antonin-Bobichon,fr FRA,MF,Nîmes,fr Ligue 1,23,1995,2,0.05,0.1,8.5,17,78.2,1,2,89,44.5,10,5,17,2.36,135.5,271,0.05,5,2.5,40,1
314,Salvatore Bocchetti\Salvatore-Bocchetti,it ITA,DF,Hellas Verona,it Serie A,32,1986,3.4,0,0,5.29,18,83.5,0,0,130,38.24,11,3.24,1,0.3,126.18,429,,2,0.59,0,0
315,Mathieu Bodmer\Mathieu-Bodmer,fr FRA,MF,Amiens,fr Ligue 1,36,1982,1,0.3,0.3,9,9,81.7,1,1,104,104,6,6,3,3.07,124,124,0.07,2,2,100,0.3
316,Adam Bodzek\Adam-Bodzek,de GER,MF,Düsseldorf,de Bundesliga,33,1985,22.4,0.01,0.3,2.54,57,82.5,0.27,6,529,23.62,56,2.5,16,0.71,37.5,840,0.08,6,0.27,66.7,0.7
317,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MF,Mainz 05,de Bundesliga,25,1994,25.2,0.13,3.3,5.12,129,76,1.43,36,1037,41.15,94,3.73,67,2.66,133.13,3355,0.08,66,2.62,65.2,2.9
318,Sacha Boey\Sacha-Boey,fr FRA,DF,Rennes,fr Ligue 1,18,2000,1.9,0.05,0.1,2.63,5,80.2,1.05,2,69,36.32,2,1.05,3,1.57,90,171,0.1,1,0.53,100,0.1
319,Jeremie Boga\Jeremie-Boga,ci CIV,FW,Sassuolo,it Serie A,22,1997,27.9,0.11,3.2,1.83,51,85.2,1.22,34,1437,51.51,22,0.79,92,3.29,288.32,8044,0.08,221,7.92,63.3,4.8
320,Melayro Bogarde\Melayro-Bogarde,nl NED,DF,Hoffenheim,de Bundesliga,17,2002,0.6,0,0,0,0,81.6,0,0,40,66.67,1,1.67,0,0,41.67,25,,0,0,,0
321,Quentin Boisgard\Quentin-Boisgard,fr FRA,MFFW,Toulouse,fr Ligue 1,22,1997,12.7,0.12,1.5,2.99,38,79.1,1.26,16,533,41.97,24,1.89,36,2.83,156.69,1990,0.04,54,4.25,77.8,0.8
322,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,eng Premier League,28,1991,22,0.01,0.3,1.73,38,82.7,0.18,4,747,33.95,36,1.64,8,0.36,65.18,1434,0.07,12,0.55,83.3,0.3
323,Giacomo Bonaventura\Giacomo-Bonaventura,it ITA,MFFW,Milan,it Serie A,29,1989,14.9,0.17,2.5,3.15,47,83.9,1.81,27,825,55.37,33,2.21,75,5.04,134.36,2002,0.09,38,2.55,71.1,3.7
324,Federico Bonazzoli\Federico-Bonazzoli,it ITA,FWMF,Sampdoria,it Serie A,22,1997,8.3,0.07,0.6,1.45,12,69.9,1.08,9,408,49.16,9,1.08,27,3.27,104.34,866,0.1,18,2.17,55.6,4.1
325,Gaëtan Bong\Gaetan-Bong,cm CMR,MFDF,Brighton,eng Premier League,31,1988,0.7,0.14,0.1,5.71,4,68.6,2.86,2,44,62.86,3,4.29,3,4.58,118.57,83,,1,1.43,0,0
326,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,Torino,it Serie A,23,1996,2.7,0,0,0.74,2,86.4,0.37,1,64,23.7,6,2.22,1,0.36,64.81,175,0.05,1,0.37,100,0.2
327,Kevin Bonifazi\Kevin-Bonifazi,it ITA,DF,SPAL,it Serie A,23,1996,13.2,0,0,2.12,28,85.8,0,0,501,37.95,24,1.82,5,0.38,122.88,1622,0.21,15,1.14,86.7,1.1
328,Federico Bonini\Federico-Bonini,it ITA,DF,Bologna,it Serie A,17,2001,0.1,0,0,0,0,100,0,0,4,40,0,0,0,0,180,18,,0,0,,0
329,Leonardo Bonucci\Leonardo-Bonucci,it ITA,DF,Juventus,it Serie A,32,1987,34.2,0.03,0.9,4.24,145,87.6,0.32,11,1804,52.75,177,5.18,28,0.82,140.91,4819,0.13,6,0.18,66.7,3.1
330,Fabio Borini\Fabio-Borini,it ITA,FWMF,Hellas Verona,it Serie A,28,1991,9,0.06,0.5,2.33,21,68.8,0.78,7,387,43,8,0.89,24,2.67,132.78,1195,0.06,17,1.89,58.8,2.9
331,Fabio Borini\Fabio-Borini,it ITA,MFFW,Milan,it Serie A,28,1991,0.8,0,0,0,0,77.3,0,0,24,30,1,1.25,1,1.29,98.75,79,0.04,1,1.25,100,0.1
332,Dennis Borkowski\Dennis-Borkowski,de GER,FW,RB Leipzig,de Bundesliga,17,2002,0.1,0,0,0,0,50,0,0,6,60,0,0,0,0,530,53,,4,40,50,0
333,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,de Bundesliga,23,1995,2,0,0,1,2,79.7,0,0,53,26.5,3,1.5,0,0,108,216,,0,0,,0
334,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,de Bundesliga,20,1999,27.2,0.02,0.5,2.46,67,82,0.18,5,988,36.32,66,2.43,13,0.48,99.89,2717,0.15,11,0.4,63.6,2.7
335,Brandon Borrello\Brandon-Borrello,au AUS,MFFW,Freiburg,de Bundesliga,24,1995,3.3,0.06,0.2,0.91,3,77.6,0.61,2,133,40.3,1,0.3,3,0.91,102.73,339,0.04,15,4.55,40,0.2
336,Gabriel Boschilia\Gabriel-Boschilia,br BRA,MFFW,Monaco,fr Ligue 1,23,1996,1.4,0,0,5.71,8,74.7,0,0,85,60.71,5,3.57,4,2.77,165.71,232,0.04,3,2.14,100,0.2
337,Denis Bouanga\Denis-Bouanga,ga GAB,FWDF,Saint-Étienne,fr Ligue 1,24,1994,22.7,0.08,1.9,2.29,52,68,0.62,14,1015,44.71,22,0.97,60,2.64,170.04,3860,0.09,120,5.29,53.3,9.2
338,Hicham Boudaoui\Hicham-Boudaoui,dz ALG,MFFW,Nice,fr Ligue 1,19,1999,5.4,0.19,1,3.15,17,76.4,1.11,6,242,44.81,9,1.67,13,2.39,151.67,819,0.27,16,2.96,56.3,1.1
339,Ryad Boudebouz\Ryad-Boudebouz,dz ALG,MFFW,Saint-Étienne,fr Ligue 1,29,1990,17.7,0.18,3.2,6.44,114,72.2,2.32,41,1006,56.84,58,3.28,66,3.72,129.49,2292,0.04,48,2.71,66.7,1.8
340,Sofiane Boufal\Sofiane-Boufal,ma MAR,MFFW,Southampton,eng Premier League,25,1993,8.5,0.32,2.7,3.76,32,76,1.76,15,468,55.06,18,2.12,37,4.36,292.71,2488,0.05,96,11.29,56.3,1
341,Nassim Boujellab\Nassim-Boujellab,de GER,MFFW,Schalke 04,de Bundesliga,20,1999,4.7,0.02,0.1,2.77,13,80.3,0.64,3,163,34.68,11,2.34,4,0.86,62.98,296,0.07,6,1.28,33.3,0.4
342,Farid Boulaya\Farid-Boulaya,dz ALG,FW,Metz,fr Ligue 1,26,1993,9.1,0.19,1.7,5.6,51,68.2,2.31,21,470,51.65,30,3.3,35,3.84,170.77,1554,0.09,27,2.97,51.9,2.2
343,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,5.5,0.05,0.3,0,0,74.7,0.18,1,73,13.27,4,0.73,2,0.36,18.36,101,,0,0,,0
344,Mehdi Bourabia\Mehdi-Bourabia,ma MAR,MF,Sassuolo,it Serie A,27,1991,10.3,0.06,0.6,5.92,61,86.8,0.78,8,675,65.53,58,5.63,25,2.43,173.88,1791,0.03,13,1.26,84.6,0.3
345,Benjamin Bourigeaud\Benjamin-Bourigeaud,fr FRA,MF,Rennes,fr Ligue 1,25,1994,21.1,0.11,2.3,6.78,143,75.6,1.23,26,1035,49.05,102,4.83,52,2.46,101.85,2149,0.06,22,1.04,68.2,2.4
346,Bilal Boutobba\Bilal-Boutobba,fr FRA,MFDF,Montpellier,fr Ligue 1,20,1998,0.1,0,0,10,1,50,0,0,7,70,0,0,1,18,390,39,,1,10,100,0
347,Jarrod Bowen\Jarrod-Bowen,eng ENG,FW,West Ham,eng Premier League,22,1996,10.2,0.23,2.3,3.14,32,68.1,1.37,14,352,34.51,12,1.18,27,2.65,160,1632,0.07,33,3.24,48.5,1.8
348,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,de Bundesliga,28,1990,27.1,0.04,1,1.62,44,90.6,0.11,3,1143,42.18,45,1.66,6,0.22,120.41,3263,0.08,12,0.44,100,1.5
349,John Boye\John-Boye,gh GHA,DF,Metz,fr Ligue 1,32,1987,23.5,0.01,0.2,1.11,26,86.6,0.04,1,674,28.68,19,0.81,5,0.21,44.81,1053,0.27,7,0.3,85.7,1.3
350,Can Bozdogan\Can-Bozdogan,de GER,MF,Schalke 04,de Bundesliga,18,2001,2.6,0,0,2.31,6,74,0.38,1,77,29.62,6,2.31,2,0.77,177.31,461,0.03,15,5.77,66.7,0.1
351,Domagoj Bradaric\Domagoj-Bradaric,hr CRO,DF,Lille,fr Ligue 1,19,1999,15.8,0.11,1.7,5.89,93,75.4,1.2,19,640,40.51,38,2.41,29,1.84,141.58,2237,0.08,17,1.08,52.9,0.4
352,Filip Bradaric\Filip-Bradaric,hr CRO,MF,Celta Vigo,es La Liga,27,1992,7.8,0.01,0.1,4.74,37,78.6,0.38,3,336,43.08,30,3.85,8,1.02,77.31,603,0.1,5,0.64,80,0.5
353,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,eng Premier League,27,1992,5,0.06,0.3,4.4,22,64.7,1.6,8,186,37.2,6,1.2,13,2.58,80.8,404,0.09,10,2,40,1.1
354,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Barcelona,es La Liga,28,1991,4.5,0,0,0.89,4,77.3,0.22,1,193,42.89,5,1.11,8,1.77,90.67,408,0.21,8,1.78,62.5,2.8
355,Martin Braithwaite\Martin-Braithwaite,dk DEN,FWMF,Leganés,es La Liga,28,1991,21.5,0.05,1.1,1.49,32,69,0.56,12,776,36.09,25,1.16,42,1.95,59.02,1269,0.15,52,2.42,61.5,6.7
356,Federico Brancolini\Federico-Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,0.1,0,0,0,0,100,0,0,1,10,0,0,0,0,0,0,,0,0,,0
357,Brandon\Brandon,es ESP,FW,Osasuna,es La Liga,24,1995,4.5,0.09,0.4,1.78,8,70.1,0.89,4,222,49.33,1,0.22,9,2,110.22,496,0.09,8,1.78,37.5,0.9
358,Julian Brandt\Julian-Brandt,de GER,MFFW,Dortmund,de Bundesliga,23,1996,24.5,0.23,5.6,6.61,162,83.2,1.55,38,1855,75.71,110,4.49,76,3.1,151.22,3705,0.12,90,3.67,70,4
359,Jarrad Branthwaite\Jarrad-Branthwaite,eng ENG,DF,Everton,eng Premier League,17,2002,3.3,0,0,1.21,4,88.2,0,0,183,55.45,9,2.73,0,0,134.55,444,,0,0,,0
360,Darko Brašanac\Darko-Brasanac,rs SRB,MF,Osasuna,es La Liga,27,1992,24.9,0.06,1.6,2.49,62,74.6,0.76,19,866,34.78,51,2.05,46,1.84,56.63,1410,0.09,22,0.88,54.5,1.8
361,Erling Braut Håland\Erling-Braut-Haland,no NOR,FW,Dortmund,de Bundesliga,19,2000,11.8,0.14,1.6,1.02,12,73.7,0.76,9,467,39.58,8,0.68,25,2.12,67.03,791,0.23,27,2.29,44.4,8.1
362,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,3.9,0,0,0,0,76.5,0,0,77,19.74,0,0,0,0,37.44,146,,1,0.26,100,0
363,Josip Brekalo\Josip-Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,21,1998,18.6,0.31,5.7,6.56,122,69.2,2.47,46,984,52.9,47,2.53,82,4.42,190.81,3549,0.08,77,4.14,51.9,3.4
364,Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,22,1997,25.2,0.01,0.2,2.06,52,81.9,0.12,3,851,33.77,35,1.39,14,0.56,114.72,2891,0.11,18,0.71,77.8,1.3
365,Marco Brescianini\Marco-Brescianini,it ITA,MF,Milan,it Serie A,19,2000,0.3,0,0,3.33,1,100,0,0,21,70,2,6.67,0,0,170,51,,0,0,,0
366,Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,24,1994,19.3,0.01,0.1,2.75,53,84.3,0.1,2,609,31.55,45,2.33,8,0.41,93.47,1804,0.08,6,0.31,83.3,1.4
367,Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,33,1985,16.9,0.06,1,0.65,11,79.9,0.89,15,654,38.7,12,0.71,26,1.53,28.11,475,0.18,15,0.89,26.7,5.7
368,Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,21,1997,16.7,0.01,0.1,1.86,31,79.2,0.18,3,315,18.86,36,2.16,14,0.84,44.97,751,0.08,20,1.2,65,0.5
369,Armando Broja\Armando-Broja,al ALB,FW,Chelsea,eng Premier League,17,2001,0.1,0,0,0,0,100,0,0,7,70,0,0,0,0,10,1,,0,0,,0
370,Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,24,1995,9,0,0,1.11,10,81.6,0,0,236,26.22,12,1.33,1,0.11,48.78,439,0.02,2,0.22,50,0
371,David Brooks\David-Brooks,wal WAL,MF,Bournemouth,eng Premier League,22,1997,5.6,0.07,0.4,4.82,27,67.6,0.89,5,221,39.46,7,1.25,8,1.42,93.39,523,0.13,25,4.46,52,0.8
372,John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,26,1993,24.7,0.02,0.5,3.72,92,83.3,0.16,4,852,34.49,62,2.51,14,0.57,111.74,2760,0.12,6,0.24,83.3,1.4
373,Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,31,1988,19,0.19,3.6,11.21,213,62.9,2.84,54,625,32.89,50,2.63,85,4.48,123.63,2349,0.04,26,1.37,50,1.6
374,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,23,1995,8.9,0.01,0.1,1.91,17,81.2,0.45,4,276,31.01,19,2.13,13,1.45,41.91,373,0.09,7,0.79,100,0.5
375,Marcelo Brozovic\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,26,1992,30,0.09,2.7,7.07,212,88.2,1.3,39,1887,62.9,193,6.43,94,3.13,135.9,4077,0.06,28,0.93,75,3.3
376,Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,26,1992,16.2,0.06,1,4.01,65,83.6,0.74,12,515,31.79,59,3.64,26,1.6,99.2,1607,0.02,15,0.93,60,0.2
377,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,de Bundesliga,27,1991,9,0,0,1.78,16,87.6,0,0,214,23.78,5,0.56,1,0.11,80.22,722,0.14,3,0.33,66.7,1.3
378,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Mainz 05,de Bundesliga,27,1991,7.5,0,0,2.13,16,88.2,0,0,221,29.47,15,2,0,0,117.2,879,0.05,1,0.13,100,0.4
379,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FWMF,Hoffenheim,de Bundesliga,20,1998,4.3,0.28,1.2,1.86,8,76.8,3.02,13,166,38.6,4,0.93,23,5.29,179.3,771,0.08,21,4.88,61.9,0.3
380,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Dortmund,de Bundesliga,20,1998,0.8,0.5,0.4,2.5,2,81.5,1.25,1,48,60,3,3.75,1,1.32,106.25,85,,3,3.75,33.3,0
381,Bryan\Bryan,es ESP,MFFW,Leganés,es La Liga,18,2001,6.2,0.16,1,3.39,21,65.6,1.94,12,266,42.9,6,0.97,22,3.55,185.16,1148,0.07,20,3.23,55,0.9
382,Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,18,2001,0.7,0,0,1.43,1,85.7,0,0,36,51.43,1,1.43,2,2.77,234.29,164,,5,7.14,60,0
383,Lucas Buadés\Lucas-Buades,fr FRA,FW,Nîmes,fr Ligue 1,21,1997,1.3,0,0,0.77,1,72.2,0,0,47,36.15,0,0,1,0.74,33.85,44,,3,2.31,33.3,0
384,Ante Budimir\Ante-Budimir,hr CRO,FW,Mallorca,es La Liga,28,1991,30.7,0.03,1,0.94,29,65.2,0.39,12,1329,43.29,28,0.91,46,1.5,47.52,1459,0.16,38,1.24,55.3,10.3
385,Emi Buendía\Emi-Buendia,ar ARG,FWMF,Norwich City,eng Premier League,22,1996,27.4,0.26,7.2,8.03,220,74.6,2.88,79,1561,56.97,145,5.29,135,4.93,180.58,4948,0.06,139,5.07,76.3,2.3
386,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9,0.02,0.2,0,0,92,0.11,1,98,10.89,1,0.11,2,0.22,27.78,250,,0,0,,0
387,Marius Bülter\Marius-Bulter,de GER,MFFW,Union Berlin,de Bundesliga,26,1993,25.8,0.14,3.7,2.48,64,62.7,1.09,28,956,37.05,27,1.05,48,1.86,112.17,2894,0.07,106,4.11,62.3,2.7
388,Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,27,1992,12.4,0.01,0.1,2.66,33,64.2,0.08,1,217,17.5,27,2.18,4,0.32,41.21,511,0.36,7,0.56,100,0.7
389,Guido Burgstaller\Guido-Burgstaller,at AUT,FW,Schalke 04,de Bundesliga,30,1989,13.7,0.07,1,1.46,20,68.5,0.58,8,731,53.36,12,0.88,26,1.9,33.94,465,0.13,33,2.41,60.6,4.6
390,Burgui\Burgui,es ESP,MF,Alavés,es La Liga,25,1993,0.2,0,0,5,1,57.1,0,0,9,45,1,5,0,0,70,14,,0,0,,0
391,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,de Bundesliga,19,2000,2.8,0.04,0.1,1.79,5,76.9,0.36,1,89,31.79,2,0.71,4,1.42,121.43,340,0.11,11,3.93,54.5,0.8
392,Oliver Burke\Oliver-Burke,sco SCO,MFFW,Alavés,es La Liga,22,1997,15.9,0.08,1.2,1.13,18,67.9,0.38,6,615,38.68,9,0.57,15,0.94,105.41,1676,0.16,44,2.77,59.1,3.2
393,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,30.8,0,0,0,0,79.4,0,0,560,18.18,3,0.1,1,0.03,38.18,1176,,2,0.06,0,0
394,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,27,1992,32,0.04,1.2,4.66,149,75.4,0.56,18,1438,44.94,112,3.5,34,1.06,111.19,3558,0.1,43,1.34,58.1,1.3
395,Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,23,1996,15.9,0.04,0.6,5.79,92,85.5,0.44,7,842,52.96,73,4.59,18,1.13,150.94,2400,0.03,32,2.01,62.5,0.2
396,Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,31,1988,27.6,0.1,2.7,7.03,194,90.2,0.8,22,2254,81.67,238,8.62,54,1.96,123.7,3414,0.12,27,0.98,81.5,1.2
397,Unai Bustinza\Unai-Bustinza,es ESP,DF,Leganés,es La Liga,27,1992,29.8,0.05,1.4,4.53,135,70.1,0.47,14,826,27.72,98,3.29,32,1.07,89.09,2655,0.05,15,0.5,40,0.4
398,Ludovic Butelle\Ludovic-Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,0,0,0,0,64.5,0.04,1,219,8.42,8,0.31,2,0.08,45.19,1175,,0,0,,0
399,Marcin Bulka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,19,1999,1,0,0,0,0,94.4,0,0,8,8,0,0,0,0,6,6,,0,0,,0
400,Sam Byram\Sam-Byram,eng ENG,DF,Norwich City,eng Premier League,25,1993,14.4,0.03,0.5,4.24,61,81.9,0.49,7,585,40.63,22,1.53,19,1.32,78.33,1128,0.07,14,0.97,35.7,1.1
401,Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,24,1995,3,0,0,7,21,61.6,0,0,69,23,11,3.67,0,0,56.33,169,0.12,0,0,,0.1
402,Erick Cabaco\Erick-Cabaco,uy URU,DF,Levante,es La Liga,24,1995,9,0.01,0.1,2.78,25,78.8,0.22,2,254,28.22,15,1.67,6,0.67,72.33,651,0.06,5,0.56,80,0.2
403,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5,0,0,0,0,73.3,0,0,110,22,0,0,0,0,41.6,208,,0,0,,0
